epóh,v.         ni: epoo/h.,ni: epoo/h,,,
epuh,v.         ni: epuu/h.,ni: epuu/h,,,
epuk,v.         ni: epug.,ni: epug,,,
ep'uus,v.         ni: epuuts.,ni: epuuts,,,
epyh,v.         ni: epyng.,ni: epyng,,,
erét,v.         ni: eréd.,ni: eréd,,,
erih,v.         ni: erii/h.         hab: er'iih.,ni: erii/h,hab: er'iih,,
erõnh,v.         ni: erõõj.         hab: her'õõnh.,ni: erõõj,hab: her'õõnh,,
er'oot,v.         ni: er'ood.       ta r'ood ỹỹn n.        ber'oot v. [LE5]       baner'ood n.,ni: er'ood,,,
esä,v.         ni: esëë.,ni: esëë,,,
es'aak,v.         ni: esaag,ni: esaag,,,
es'ããk,v.         ni: esããg.,ni: esããg,,,
esããm,v.         ni: es'ããw.,ni: es'ããw,,,
esääm,v.,,,,
esah,v.         ni: esah/esang.,ni: esah/esang,,,
esäk doo,n.,,,,
esäp,v.         ni: esäb.       noo esäp v.        noo kesäp v.,ni: esäb,,,
esas,v_p.         sing: as'aas.       besas v.,sing: as'aas,,,
es'ẽẽ,onom.,,,,
esẽẽt,v.        kas'ẽẽd hõm v.,,,,
esénh,v.         ni: eséj.,ni: eséj,,,
es'ëënh,v.         ni: essëëj.,ni: essëëj,,,
essëëh,v.         ni: es'ëëh.       pesëëh v.,ni: es'ëëh,,,
essëëm,v.,,,,
es'ëëm,v.         ni: essëëm.,ni: essëëm,,,
essëëp,"v. 	ni: es'ëëb.",ni: es'ëëb,,,
esëët,v.         p: asët.,p: asët,,,
esëk,v_p.         ni: esëg.         s: asëk.,ni: esëg,s: asëk,,
esĩĩn,v.         hab: hesẽn.       k'yy gesĩĩn v.,hab: hesẽn,,,
esok,v.         ni: esog.,ni: esog,,,
esõk,v.         ni: esõg.         hab: hes'õõk.,ni: esõg,hab: hes'õõk,,
esoo,v.         ni: eso.,ni: eso,,,
esoo[LE6],v.,,,,
esõõnh,v.         ni: esõõj.         hab: hes'õõnh.,ni: esõõj,hab: hes'õõnh,,
es'ooh,v.         ni: esoo/h.,ni: esoo/h,,,
esoom,v.         ni: esoow.,ni: esoow,,,
esoos,v.         ni: esóts.         p: es'oos.,ni: esóts,p: es'oos,,
es'õõs,v.         ni: esõõts.         hab: hes'õõs.,ni: esõõts,hab: hes'õõs,,
esõs,v.         ni: esõts.        hab;caus: hes'õõs.       du gadasõs v.,ni: esõts,hab;caus: hes'õõs,,
esõt,v.         ni: esõd.         hab: hesõt.,ni: esõd,hab: hesõt,,
esónh,v.         ni: esój.,ni: esój,,,
esóm,v.         ni: esów.       du gesóm v.        h'yy kesóm v.        sóm onom.,ni: esów,,,
esót,v.         ni: esod.,ni: esod,,,
esuu/h,v.         ni: esu.,ni: esu,,,
esynh,v.         ni: esyyj.,ni: esyyj,,,
esyh,v.         ni: esyyh.       syyh n.,ni: esyyh,,,
esyk,v.         ni: esyg.       tsyym gesyk v.        moo gesyk v.       noo gesyk v.        nabuuj gesyk v.        poo gesyk v.        ty gesyk v.       jesyk v.        kyy jesyk v.,ni: esyg,,,
es'yyt,v.         ni: esyyd.,ni: esyyd,,,
etaa,v.         ni: eta.,ni: eta,,,
etaah,"v. 	ni: eta/h.",ni: eta/h,,,
et'aap,v.         ni: etab.       taab n op. broto.,ni: etab,,,
etäk,v.         ni: etäg.       hetäk doo n.        noo hetäk v.,ni: etäg,,,
et'ẽẽh,v.         ni: etẽẽng.,ni: etẽẽng,,,
et'ẽẽk v,onom.         ni: etẽẽk.,ni: etẽẽk,,,
etẽn,v.         est;hab: et'ẽẽn.       ji metẽn péh n.,est;hab: et'ẽẽn,,,
etëëh,v.         ni: et'ëë/h.,ni: et'ëë/h,,,
etëëk,v.         ni: etäg.,ni: etäg,,,
etëëp,v.         ni: etëb.,ni: etëb,,,
etëk,v.        jó hetëk v.,,,,
etoo,v.         ni: et'oo.,ni: et'oo,,,
etook,v_p.         ni: etog.,ni: etog,,,
et'oom,v.         ni: etoow.,ni: etoow,,,
etóh,v_p.         sing: atóng.         ni: etoo/h.       ty gametóh v_p.,sing: atóng,ni: etoo/h,,
etóók,v_p.         ni: etóg.,ni: etóg,,,
etuu,v.         ni: etu.,ni: etu,,,
etuuk,v.         ni: etug.       hetuuk péh n. esp.,ni: etug,,,
etyn,v.        ketyn v.,,,,
etyy,v.         ni: ety.         p: et'yy.,ni: ety,p: et'yy,,
etyyp,v.         ni: etyb.,ni: etyb,,,
etsaa,v.         ni: ets'aa.       ty mets'aa däk v.        ty kets'aa däk v.,ni: ets'aa,,,
ets'aap,v.         ni: etsaab.,ni: etsaab,,,
etsẽẽ,v.         ni: ets'ẽẽ.,ni: ets'ẽẽ,,,
