entry_id,def,status,matches
eỹỹm1_db33bb76-0902-4cd5-a8db-eb1f7bdaefba,fear;ter.medo,,"{'eỹỹm2_b7f8608c-1aaa-4014-b04d-968cde2f7f87': ('eỹỹm', 'fear;ter.medo'), 'ỹỹm1_c5454b3c-10c6-4bf4-936d-38c30dd989de': ('ỹỹm', 'esposa'), 'e&apos;ỹỹm_f10c9014-71b7-47c5-94e5-6838e40da1fe': (""e'ỹỹm"", 'scare;causar.medo')}"
j&apos;yy_dc5580cb-f66e-4333-9edc-7b10af35d72a,son.Voc;filho.Voc,,"{'jɨ̰:t_5433c61f-5cd9-4e4b-a03d7eacb676ef0f': ('jɨ̰:t', 'wash'), 'aj&apos;yy_ece00d00-4ed6-47ba-9536-ac3be8cafafe': (""aj'yy"", 'man;homem')}"
asëm_dc855a5e-e265-4869-9faa-8947234d666a,be.arrogant;ser.orgulhoso,,"{'atsëm_3e48f310-3d32-4d81-9074-b841d0ae6f78': ('atsëm', 'night;noite')}"
mỹỹj_dfe6e587-6395-4e95-992c-85a4d3e70bac,temporary.camp;acampamento.temporário,,"{'ɨ̃:j_5a1c00f9-4ec3-4e16-b5fe91e9b4916736': ('ɨ̃:j', 'mulheres')}"
panyyg2_e135dd42-1fc6-4655-9a4c-61a3e18049cb,story;conto,,"{'panyyg1_b438b097-40f8-45db-98fc-91e5ba708d20': ('panyyg', 'story;história')}"
haɾũm_e7c19295-e5b4-4fbe-afa0-407f81dde475,tipiti,,"{'harum_15ce4d3f-c20c-4b98-ac5e-19c13eada4af': ('harum', 'tipiti;tipiti')}"
atsëë_e8b38791-7aed-416c-b546-7186f67846fa,ant.spec;formiga.taxi,,"{'tatsëë_c7995d79-a53a-4ee3-ba03-b6b43eeea58c': ('tatsëë', 'cooking food wrapped in leaves')}"
aj&apos;yy_ece00d00-4ed6-47ba-9536-ac3be8cafafe,man;homem,,"{'j&apos;yy_dc5580cb-f66e-4333-9edc-7b10af35d72a': (""j'yy"", 'son.Voc;filho.Voc')}"
kahũũm_edb14c07-f4e4-49ef-8e80-ffbedcf5072a,stretch;esticar,,"{'tahũ:m_480edbaa-0ba8-4eae-968e71ba5dbe2439': ('tahũ:m', 'planta.sp')}"
maɾahuːd_ef1c8465-a5e4-4269-b0ee-40fed97f627b,solteiro,,"{'marahuud_579cf0f2-5521-4f7c-8650-e9e7775a6a6d': ('marahuud', 'single;solteiro')}"
e&apos;ỹỹm_f10c9014-71b7-47c5-94e5-6838e40da1fe,scare;causar.medo,,"{'eỹỹm2_b7f8608c-1aaa-4014-b04d-968cde2f7f87': ('eỹỹm', 'fear;ter.medo'), 'eỹỹm1_db33bb76-0902-4cd5-a8db-eb1f7bdaefba': ('eỹỹm', 'fear;ter.medo')}"
ahỹỹh_f733ec49-2377-44b4-8f60-a93e6a22ff4e,sing.bird;cantar.pássaro,,"{'mahɨ:h_99331f07-019a-4e63-ba089b2b6308fe5d': ('mahɨ:h', 'levar.baixo'), 'hahỹỹh1_c9b7d1df-1bb9-48d2-a71c-af0fdd38ed70': ('hahỹỹh', 'este')}"
has&apos;aa_f8f877c8-bb62-4c63-ab3a-127434c9e8b3,dislike;desgostar,,"{'nas&apos;aa_3bd6ffae-4a8e-497c-88a9-cf04245cbc73': (""nas'aa"", 'ugly;feio')}"
nyyd_facdf3f0-1a1e-403e-912b-c4f27a0d057e,WH;WH,,"{'nyy2_2a616b2b-369a-4c2f-96a4-fed147510a78': ('nyy', 'INTERG')}"
asoop_fb0ac1ce-3487-4841-8c1e-1d831b4bedc9,go.upwards.from river;subir.do.rio,,"{'aʃo:p_fb0ac1ce-3487-4841-8c1e1d831b4bedca': ('aʃo:p', 'go.upwards.from river;subir.do.rio')}"
bii_fb6c7157-1b9b-4d1b-9926-dcdea3043357,breast;seios,,"{'bi:ʃ_4e4766cf-1634-41cf-8f2b8a53fcce110e': ('bi:ʃ', 'pipira'), 'abi:_bd3c588b-d116-42fc-b2381c92088338e3': ('abi:', 'mamar')}"
ëën_fe7eb662-ab08-4960-beed-46e3474784d5,mother.Voc;mãe.Voc,,"{'sëën_89e12256-aa4d-4789-a64e-fc333256a009': ('sëën', 'hair;cabelo')}"
jajé     _ff33ec40-692f-454d-915f-ee99245cc6f7,there.invisible;lá.invisible,,"{'jajɛ_ff33ec40-692f-454d-915fee99245cc6f8': ('jajɛ', 'there.invisible;lá.invisible')}"
