sense_id,pos,gloss,def,reverse,note
56c9f0d6-f50e-4f33-a488-dcd2930dc242,Verb,{'en': 'ser verde n.i.'},,,
cd383986-03c5-4ff6-946a-35e2df176d23,Verb,{'en': 'be.dark'},,,
1f5e557a-ed3c-4d43-adca-28b5e5468ab9,Noun,"{'en': 'spear', 'pt': 'lança'}","{'en': 'spear', 'pt': 'lança'}",,
2903a35a-dc21-4dd6-a722-910e841f93f6,v,{'pt': 'estar.no.fogo'},,,
3c1dd3c6-40e8-45b7-94ad-9bcad18ab8e8,Noun,"{'en': 'dove', 'pt': 'pomba'}","{'en': 'dove', 'pt': 'pomba'}",,
b90a6d38-f813-4919-b37a-cc271428068a,Noun,{'en': 'macaquinho'},,,
162e4c96-fbb5-41c6-a8f0-dcd86f33eca2,Noun,{'en': 'terra'},,,
c8087b0a-6d12-4c1a-8fa8-ad6bc18e9a88,Noun,"{'en': 'genipap', 'pt': 'genipapo'}","{'en': 'genipap', 'pt': 'genipapo'}","[('genipap', 'en'), ('genipapo', 'pt')]",
9f7fc33b-9323-4f28-9524-ede88d422f89,v,{'pt': 'conseguir'},{'pt': 'saber; terminar; conseguir; atar; fazer'},,
09da2923-e6d9-40fd-be0d-ddc17b8f36fe,Noun,"{'en': 'daughter', 'pt': 'filha'}","{'en': 'daughter', 'pt': 'filha'}",,
a5b82222-a737-4e50-89de-da16ef801861,n,{'pt': 'do.gapó'},{'pt': 'esp. de manioca (do gapó)'},,
814d3c1a-fc0d-4a28-ab96-64634384e8ad,adv?,{'pt': 'mais(?)'},{'pt': 'mais(?)'},,
d3963a49-bb42-498c-97c7-95ef55fd557b,n,{'pt': 'corda.de.subir(?)'},{'pt': 'pedaço de cipó que se usa para ubir uma árvore'},,
a55cb9af-ae77-4d37-be9b-21ca0a24233d,Verb,"{'en': 'ashamed', 'pt': 'estar.envergonhado'}","{'en': 'ashamed', 'pt': 'estar.envergonhado'}",,
c0ac1101-c428-4c3a-a9ed-0e4e1e566349,n op,{'pt': 'pedaço'},{'pt': 'pedaço; parte pequena'},,
73f727e6-1c00-46d4-b551-16b7d12a7c7c,Noun,"{'en': 'caatinga', 'pt': 'caatinga'}","{'en': 'caatinga', 'pt': 'caatinga'}",,
3c8e5517-d5a2-45e6-8a6c-a4a5b6a3086a,Noun,"{'en': 'japurá', 'pt': 'japurá'}","{'en': 'japurá', 'pt': 'japurá'}","[('japurá', 'pt'), ('japurá', 'en')]",
24591e08-6e9a-4017-823b-a34774d951a7,v?,{'pt': 'espirrar?'},{'pt': 'espirrar?'},,
880998ae-bfd2-4d3d-86d3-d0dde93b5c51,v?,{'pt': 'subir.árvore?'},{'pt': 'subir.árvore?'},,
43f16ff4-801c-4b6b-ace9-7d04e33857cf,Noun,{'en': 'peixe'},,,
514fe7a9-a793-47a1-a7ee-0d2b60c0c376,Noun,"{'en': 'wild.dog', 'pt': 'cachorro.do.mato'}","{'en': 'wild dog', 'pt': 'cachorro do mato'}",,
ccbaf3eb-73fc-4e76-8268-65f8dfd8aba0,Noun,{'en': 'sobrinho'},,,
2ead3007-e5a6-45a3-bafa-401642bb2ba8,Pronoun,"{'en': '1PLincl', 'pt': '1PLincl'}","{'en': 'we (inclusive)', 'pt': 'nós (inclusive)'}",,
6f428c2e-845f-4b62-84f1-291273a9cafd,Noun,{'en': 'espécie de pássaro'},,,
c2076cad-81e1-4e98-8ec1-9cb00525e238,Verb,{'en': 'lay.egg'},,,
570e5c28-f344-441a-93a2-fa6f7607504f,v,{'pt': 'passar'},{'pt': 'passar'},,
bde7cccc-62dd-44d2-8f11-219d8b8e40a8,v,{'pt': 'brincar'},{'pt': 'brincar'},,
869ac389-45ec-4ea1-bd54-bac70424c73b,Noun,"{'en': 'fishing.stick', 'pt': 'vara.pesca'}","{'en': 'stick for fishing', 'pt': 'vara para pescar'}",,
505d0581-c996-409b-99cd-59a5fbf20d3d,Noun,"{'en': 'small.drum', 'pt': 'tambor'}","{'en': 'drum (small)', 'pt': 'tambor'}",,
afe2c3c2-e63c-4828-b924-a3ecff2a390e,Noun,{'en': 'aracoã'},,,
4720225d-9cb6-43ec-ab59-dfb89b42b27a,adv,{'pt': 'há.muito.tempo'},{'pt': 'há muito tempo'},,
74a76c65-88dd-4672-be6c-418ece822d56,Noun,"{'en': 'tipiti', 'pt': 'tipiti'}","{'en': 'tipiti (manioc squeezer)', 'pt': 'tipiti'}",,
b986d563-6ca9-49bc-8bcc-867155a5b0e9,v,{'pt': 'pescar'},{'pt': 'pescar com arpão'},,
1ec5c496-b253-497a-9daf-0f3edb0fb00e,Noun,{'en': 'espécie de fruta'},,,
9cefa735-d18d-434b-bde0-61102d140d37,Verb,"{'en': 'spit', 'pt': 'cuspir'}","{'en': 'spit', 'pt': 'cuspir'}",,
125852b9-9c3d-49dc-ac87-02e3bdbc19a7,par,{'pt': 'para'},{'pt': 'para; vai ser'},,
49875121-3e4e-4cd8-a4b4-4c61dcf5e10b,Noun,"{'en': 'pineapple', 'pt': 'abacaxi'}","{'en': 'pineapple', 'pt': 'abacaxi'}","[('pineapple', 'en'), ('abacaxi', 'pt')]",
5f3a89d8-db19-4cc0-9e59-a02da258eaf4,,"{'en': 'hot', 'pt': 'quente'}","{'en': 'hot (sun)', 'pt': 'quente (sol)'}",,
b9e2ce71-7e64-4bc5-a0f2-5a4e97d81265,Noun,"{'en': 'waterfall', 'pt': 'cachoeira'}","{'en': 'waterfall; rapid', 'pt': 'cachoeira'}",,
3d19d54b-cde9-433d-bdfc-e0b527952a93,Verb,{'en': 'abeirar'},,,
3334af6d-577c-4a6e-8ecb-f2deabfb87d8,Noun,"{'en': 'gourd.dipper', 'pt': 'cuia'}","{'en': 'gourd dipper', 'pt': 'cuia'}",,
818c8b67-4e64-40c2-a043-455c37dd89e1,,"{'en': 'rotten.smell', 'pt': 'cheiro.estragado'}","{'en': 'smell of rotten meat', 'pt': 'cheiro de carne estragado'}",,
c636c551-14df-4f20-859b-8bdd92d2d7c7,n,{'pt': 'grelo.de.buriti'},{'pt': 'grelo de buriti'},,
77ff4169-8a09-4e4c-a103-4413792adbc2,Noun,{'en': 'espécie de cobra'},,,
040f9c09-ac6f-45bd-9574-a7461eb177c7,Noun,"{'en': 'brazil.nut', 'pt': 'castanha.do.mato'}","{'en': 'brazil nut', 'pt': 'castanha do mato'}",,
a2730ec1-e427-463d-97e0-b0290c016311,Noun,{'en': 'uncle'},,,
786e1413-3779-4672-813a-23b202c1ac3c,Verb,{'en': 'estar estragado (p ex fruta caída)'},,,
ce5eec29-84d1-4460-9820-3988b7210159,Pronoun,{'en': 'NON.REF; a.one'},,,
c2e3e355-dadb-4b30-a3a1-0f2249aeb1b0,Noun,{'en': 'aracu'},,,
871493a5-6b9a-414b-8f7d-1db55c99f083,par,{'pt': 'por.isso'},{'pt': 'por isso'},,
d379da3f-efe2-4e2f-b1d4-7c3bfa01bd2c,Noun,{'en': 'wild.pig'},,,
5e3bf1cc-888a-4210-b875-93ad75d7001d,n,{'pt': 'caiarara'},{'pt': 'esp. de macaco (caiarara)'},,
edaa2fe3-4960-4bab-925d-b9cc58a4932a,v,{'pt': 'baixar'},{'pt': 'baixar'},,
c987cc54-829f-4cd0-a31f-7adf3b7383cb,v,"{'en': 'steal', 'pt': 'roubar'}","{'en': 'steal', 'pt': 'roubar'}",,
a30e3b70-c810-4aca-937c-18b141f14842,Noun,{'en': 'aracu'},,,
bed4129c-a622-42e6-81b2-2372039e7c4f,v,{'pt': 'dormir'},{'pt': 'dormir'},,
227bbe98-e800-43d7-9785-c7cc771c892c,n op,{'pt': 'cara'},{'pt': 'rosto; cara'},,
2013ecbc-5f4a-4cd3-a741-d2c7ae4696b6,?,{'en': 'estragado'},,,
dd96ef39-6955-46ff-9a0c-cd2e3915751e,Noun,"{'en': 'chief', 'pt': 'chefe'}","{'en': 'chief/leader', 'pt': 'chefe'}",,
e54b181c-9272-4054-96a3-d187d22e3133,n,"{'en': 'woodpecker', 'pt': 'pica.pau'}","{'en': 'woodpecker', 'pt': 'pica-pau (esp.)'}",,
e7ebf375-f74f-4014-8dda-2500f242b2c4,Noun,"{'en': 'anaconda', 'pt': 'sucuri'}","{'en': 'anaconda', 'pt': 'sucuri'}",,
41d7a879-295b-4bd6-ba70-fe96b8648c69,v,{'pt': 'providenciar'},{'pt': 'providenciar'},,
d69496ab-5a91-4287-91a7-69f70883fabb,adv,{'pt': 'no.chão'},{'pt': 'no chão'},,
c21a69eb-2fc8-4068-b4e8-4f1715bb29e3,v,{'pt': 'cortar'},{'pt': 'cortar'},,
6c2fa845-b2f0-4fc9-bedb-58c69c91a817,Noun,{'en': 'som de quebrar'},,,
b8713fe5-b769-4c7b-9baa-a7cafacfbf62,Noun,{'en': 'tapioca'},,,
f3a70c40-7c7d-4b86-9b69-e929a8077078,Noun,"{'en': 'bowl', 'pt': 'tijela'}","{'en': 'bowl', 'pt': 'tijela'}",,
62b8ed0f-48aa-4a8a-a1c8-3f7ac323e420,Noun,"{'en': 'amazon.treegrape', 'pt': 'cucura'}","{'en': 'amazon tree grape', 'pt': 'cucura'}","[('cucura', 'pt'), ('amazon tree grape', 'en')]",
