entry_id,bibliography,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
kuruj du_cee3da30-09cb-4fe7-8929-c2a990e5caa8,Epps/Obert Fieldnotes 2018,2018-07-27T20:41:26Z,2020-01-03T02:46:02Z,kuruj du,stem,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},,"[{'pos': 'Noun', 'gloss': {'en': 'vulture', 'pt': 'urubu'}, 'def': {'en': 'vulture', 'pt': 'urubu'}, 'reverse': '', 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
oow2_d04af342-ffb6-4ca8-806b-a630870f74ee,Fieldnotes Epps/Obert; 2018,2019-01-14T03:46:56Z,,oow,stem,,"{'Sil Dict 2011': 'oow', 'Martins': 'ʔoːw', 'Barbosa': 'ʔoːw', 'Weir': 'óów'}",ʔo:w,"[{'pos': 'Noun', 'gloss': {'en': 'grandfather', 'pt': 'avô'}, 'def': {'en': 'grandfather', 'pt': 'avô'}, 'reverse': '', 'note': '', 'these_vars': ''}]","{'oow1_eb8de02c-9b06-4ddc-af7a-cba13637ac34': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}, 'ʔoːw1_f450e27e-ab41-4277-a9ec-2d5c346698a5': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{}
,,,,,,,,,,,
mahũũr1_d5012807-382c-4ce2-ae64-fe70e83272d7,Fieldnotes Epps/Obert; 2018,2018-03-08T07:17:53Z,,mahũũr,stem,{},,mahũ:ɾǝ,"[{'pos': 'n', 'gloss': {'en': 'sweet.manioc', 'pt': 'macaxeira'}, 'def': {'en': 'sweet manioc', 'pt': 'macaxeira'}, 'reverse': ""{'en': 'sweet manioc', 'pt': 'macaxeira'}"", 'note': '', 'these_vars': ''}]",,{}
,,,,,,,,,,,
eỹỹm2_b7f8608c-1aaa-4014-b04d-968cde2f7f87,Epps/Obert Fieldnotes 2019,2018-03-08T07:17:53Z,2019-11-11T00:32:55Z,eỹỹm,stem,"{'bibliography': 'Epps/Obert; fieldnotes 2019, SIL 2011'}",{'SIL Dict 2011': 'Não indicativo: eỹm'},eɨ̃:m,"[{'pos': 'n', 'gloss': {'en': 'fear', 'pt': 'ter.medo'}, 'def': {'en': 'fear', 'pt': 'ter.medo'}, 'reverse': '', 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
nad&apos;ëëd_dd993279-961b-4e7e-aaf2-0286f5a2b9e1,Epps/Obert Fieldnotes 2018,2018-07-08T16:56:37Z,2020-01-08T19:29:29Z,nad'ëëd,stem,"{'bibliography': 'Fieldnotes Epps/Obert; 2018', 'Note': 'problem: naˈdǝʔǝd˺ or naˈdɨʔɨd˺'}",{},naˈdǝʔǝd˺,"[{'pos': 'adj?', 'gloss': {'en': 'small', 'pt': 'pequeno'}, 'def': {'en': 'small', 'pt': 'pequeno'}, 'reverse': '', 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
ʃʌʃ_19c9d3c1-cce8-426f-a5bbc966bae6d008,Barbosa,2018-06-20T05:09:54Z,,ʃʌʃ/ʃaʃ,stem,{'Note': 'Predicted phonemic form from source Barbosa.'},{'Barbosa': 'ʃʌʃ'},ʃʌʃ,"[{'pos': 'Noun', 'gloss': {'en': 'aracu'}, 'def': None, 'reverse': '', 'note': '', 'these_vars': ''}]","{'ʃʌʃ_19c9d3c1-cce8-426f-a5bb-c966bae6d007': {'type': '_component-lexeme', 'variant-type': 'Barbosa'}}",{}
,,,,,,,,,,,
hḭ̃:w_1b5889d9-62f6-4a22-b429fbaee69d90ce,,2018-06-20T05:09:53Z,,hḭ̃:w,stem,{'Note': 'Predicted phonemic form from source undef.'},{'undef': 'hḭ̃ːw'},hḭ̃:w,"[{'pos': 'Noun', 'gloss': {'en': 'som de quebrar'}, 'def': None, 'reverse': '', 'note': '', 'these_vars': ''}]","{'hḭ̃ːw_1b5889d9-62f6-4a22-b429-fbaee69d90cd': {'type': '_component-lexeme', 'variant-type': ''}}",{}
,,,,,,,,,,,
tũ_22152a27-e164-405e-b4b5-f3b9d7f6331d,Epps/Obert Fieldnotes 2019,2018-06-20T05:09:53Z,2019-11-15T21:48:40Z,tũ,stem,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{'Martins': 'tũːʔ'},tũːʔ,"[{'pos': 'Noun', 'gloss': {'en': 'floor', 'pt': 'ground'}, 'def': {'en': 'floor', 'pt': 'ground'}, 'reverse': '', 'note': '', 'these_vars': ''}]","{'dajëp tũ_bb4fa396-a6ce-4e64-b8fa-c8afcda2af2e': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Unspecified Complex Form'}}",
,,,,,,,,,,,
man&apos;uuts_898ee1a2-ed1e-4b76-ae8d-ab5b1600b6d1,Epps/Obert Fieldnotes 2019,2020-01-08T15:53:25Z,2020-01-08T15:55:12Z,man'uuts,root,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},,manuʔuɟ,"[{'pos': 'Noun', 'gloss': {'en': 'uneiuxi.river', 'pt': 'rio.uneiuxi'}, 'def': {'en': 'Uneiuxi river', 'pt': 'Rio Uneiuxi'}, 'reverse': '', 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
e:_3721b800-dbe1-4f4c-a11becaeda9dda0a,SIL Dict 2011,2018-03-08T07:17:53Z,,e:,stem,{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},"{'Weir': 'éé', 'Sil Dict 2011': 'ee'}",e:,"[{'pos': 'n', 'gloss': {'pt': 'papai'}, 'def': {'pt': 'papai'}, 'reverse': '', 'note': '', 'these_vars': ''}]","{'éé1_b19c52f4-5052-4e8e-9a2d-6a29d18a7b33': {'type': '_component-lexeme', 'variant-type': 'Weir', 'summary': '1986; 1990; father'}, 'ee_3721b800-dbe1-4f4c-a11b-ecaeda9dda09': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{}
,,,,,,,,,,,
hewooj_397db076-cf3b-4301-9885-681cbbd2ec19,Epps/Obert Fieldnotes 2019,2018-03-08T07:17:53Z,2019-12-21T01:18:29Z,hewooj,stem,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{'Sil Dict 2011': 'hewoonh'},he'wo:j,"[{'pos': 'v', 'gloss': {'en': 'dry', 'pt': 'secar'}, 'def': {'en': 'dry', 'pt': 'secar'}, 'reverse': '', 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
nʌ_4b7f5948-bdce-4500-aff6a4162c201a27,SIL Dict 2011,2018-03-08T07:17:53Z,,nʌ,stem,{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},{'Sil Dict 2011': 'nä'},nʌ,"[{'pos': 'adv', 'gloss': {'pt': 'ainda'}, 'def': {'pt': 'ainda'}, 'reverse': '', 'note': '', 'these_vars': ''}]","{'nä_4b7f5948-bdce-4500-aff6-a4162c201a26': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{}
,,,,,,,,,,,
b&apos;ëëp_61864f59-37ff-4169-92dc-b8034e5db3e3,Epps/Obert Fieldnotes 2019,2018-03-08T07:17:53Z,2019-11-29T02:52:51Z,b'ëëp,stem,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{'Sil Dict 2011': 'bʹëëp'},bəʔəp,"[{'pos': 'adv', 'gloss': {'en': 'Come.here!', 'pt': 'Vem!'}, 'def': {'en': 'Come here!', 'pt': 'Vem!'}, 'reverse': '', 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
watoor_7c591ae2-72c2-4bc3-8498-908678de5333,Epps/Obert Fieldnotes 2019,2020-01-08T15:49:25Z,2020-01-08T15:49:59Z,watoor,root,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{'Barbosa': 'watuːɾ'},watoːɾ,"[{'pos': 'Noun', 'gloss': {'en': '?', 'pt': 'macaco.bicó'}, 'def': {'en': '?', 'pt': 'macaco bicó'}, 'reverse': '', 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
waw&apos;oos_713c2e49-683d-4b4c-b21a-cb6fbd07c005,SIL Dict 2011,2018-03-08T07:17:53Z,2019-11-18T21:20:57Z,waw'oos,stem,{'bibliography': 'SIL 2011'},{'Sil Dict 2011': 'wawʹoos'},wawo̰:ʃ,"[{'pos': 'n', 'gloss': {'pt': 'caba.sp'}, 'def': {'pt': 'esp. de caba'}, 'reverse': '', 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
mỹỹj_dfe6e587-6395-4e95-992c-85a4d3e70bac,Epps/Obert Fieldnotes 2019,2019-11-15T21:21:51Z,2019-11-15T21:23:35Z,mỹỹj,root,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{'Sil Dict 2011': 'myyj'},mɨ̃:j,"[{'pos': 'Noun', 'gloss': {'en': 'temporary.camp', 'pt': 'acampamento.temporário'}, 'def': {'en': 'temporary camp', 'pt': 'acampamento.temporário'}, 'reverse': '', 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
noo ken&apos;aak_7c184abd-1399-4ba0-b334-0a56f7ead37c,Epps/Obert Fieldnotes 2019,2018-03-08T07:17:53Z,2020-01-08T19:20:22Z,noo ken'aak,phrase,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{'Sil Dict 2011': 'noo kenʹaak'},no: kena̰:k,"[{'pos': 'v', 'gloss': {'en': 'like.food', 'pt': 'gostar.de.comida'}, 'def': {'en': 'like food', 'pt': 'gostar de comida'}, 'reverse': '', 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
ub_73c90a3f-cfeb-471d-ae53-3c6573e4e5ec,Epps/Obert Fieldnotes 2019,2019-12-02T13:39:17Z,2019-12-02T13:40:33Z,ub,root,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},"{'Sil Dict 2011': 'up', 'SIL Dict 2011': 'Não indicativo: ub'}",ub,"[{'pos': '', 'gloss': {'en': 'INTS', 'pt': 'INTS'}, 'def': {'en': 'INTS', 'pt': 'INTS'}, 'reverse': '', 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
bëëh_962a8de8-7f65-4e60-b8a4-c16d27943a32,SIL Dict 2011,2018-03-08T07:17:53Z,2019-12-20T19:40:38Z,bëëh,stem,{'bibliography': 'SIL 2011'},"{'Weir': 'bʉʉh', 'Sil Dict 2011': 'bëëh'}",bə:h,"[{'pos': 'n op', 'gloss': {'pt': 'suco'}, 'def': {'pt': 'suco; liquido'}, 'reverse': '', 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
g&apos;aad hẽnh_a823ec1b-7c9e-457a-8b30-7bd4fa76f088,Epps/Obert Fieldnotes 2019,2018-03-08T07:17:53Z,2019-12-21T21:15:52Z,g'aad hẽnh,phrase,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{'Sil Dict 2011': 'gʹaad hẽnh'},k'aʔad hɛ̃ɲ,"[{'pos': 'adv', 'gloss': {'en': 'upriver', 'pt': 'rio.acima'}, 'def': {'en': 'upriver', 'pt': 'rio.acima'}, 'reverse': '', 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
hahỹỹh1_c9b7d1df-1bb9-48d2-a71c-af0fdd38ed70,SIL Dict 2011,2018-03-08T07:17:53Z,2020-01-25T05:00:11Z,hahỹỹh,stem,{'bibliography': 'SIL 2011'},{'Sil Dict 2011': 'hahỹỹh'},hahɨ̃:h,"[{'pos': 'pro', 'gloss': {'pt': 'este'}, 'def': {'pt': 'este'}, 'reverse': '', 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
kuj&apos;uuj_d674eeda-bfa4-47b0-86d8-ce128cfc5d92,Epps/Obert Fieldnotes 2019,2018-06-20T05:09:53Z,2020-01-11T16:26:53Z,kuj'uuj,stem,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},kuj'uʔuj,"[{'pos': 'Noun', 'gloss': {'pt': 'cujubim'}, 'def': {'pt': 'cujubim'}, 'reverse': '', 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
heen n&apos;aa_e00ea0a4-a593-43c3-b339-f3933a66bdca,Epps/Obert Fieldnotes 2019,2018-03-08T07:17:53Z,2020-01-08T17:43:52Z,heen n'aa,phrase,"{'bibliography': 'Epps/Obert; Fieldnotes 2019, SIL 2011'}",{'Sil Dict 2011': 'heen nʹaa'},he:n na̰:,"[{'pos': 'n op', 'gloss': {'en': 'picture', 'pt': 'foto'}, 'def': {'en': 'picture; foto', 'pt': 'foto; representação'}, 'reverse': '', 'note': '', 'these_vars': ''}]","{'taheen n&apos;aa getsa doo_e91e270e-f253-4f7d-97e7-501f7659b3a0': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}",
,,,,,,,,,,,
pɛh_ee911202-c9b9-436e-8f4e23aff9b0cbb7,SIL Dict 2011,2018-03-08T07:17:53Z,,pɛh,stem,{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},"{'Weir': 'péh', 'Sil Dict 2011': 'péh'}",pɛh,"[{'pos': 'n', 'gloss': {'pt': 'tipo.de'}, 'def': {'pt': 'tipo de; membro da classe de'}, 'reverse': '', 'note': '', 'these_vars': ''}]","{'péh2_185742c8-a9c5-4745-b66a-a8f4f48aaf5c': {'type': '_component-lexeme', 'variant-type': 'Weir'}, 'péh1_ee911202-c9b9-436e-8f4e-23aff9b0cbb6': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{}
