headword,ipa,entry_id,matches
pewóp hẽ,pewɔp hẽ,pewóp hẽ_083be29b-071a-45ec-bd6b-c4935e1ae87b,"[('hẽnh', 'hẽnh_63c8102a-b241-4712-a838-70b21b5a086e', 0.8571428571428571), ('hẽ', 'hẽ2_3bf2f3c2-3b71-4c02-9a24-b506631eabbb', 1.0), ('hẽ', 'hẽ1_081a7a8a-0158-4d80-abae-d16c5ebdcef7', 1.0)]"
kawad puuw (tëëg),kawad pu:w (tə:g),kawad puuw (tëëg)_083ca43d-56d8-4a51-98c4-4109ef14938b,[]
mejũũ,meju:̃,mejũũ_08556f61-8d79-4825-b202-c10f6b715d04,"[('jṵːʔ', 'jṵːʔ_eef40a70-5ad0-4fc4-bc34-11960085d1f3', 0.875)]"
hetsʹyyt,hetʃɨ̰:t,hetsʹyyt_086f87aa-bef9-4eb9-9776-4bf5d409a57d,"[('ɟɯ̰ːd', 'ɟɯ̰ːd_39590426-26b6-4758-88c2-a6b59247e283', 0.9166666666666666), ('getsʹyyt', 'getsʹyyt_d4cda079-ada5-4609-b46f-a33588cca221', 0.90625), ('getsʹyyt', 'getsʹyyt_d4cda079-ada5-4609-b46f-a33588cca221', 0.8571428571428571), ('petsʹyyt', 'petsʹyyt_4aef1e79-faa6-48c5-9b25-917643b48366', 0.90625), ('petsʹyyt', 'petsʹyyt_4aef1e79-faa6-48c5-9b25-917643b48366', 0.8571428571428571)]"
dóón,dɔ:n,dóón_0872e55d-b5b9-4180-a82a-db40318848d5,[]
kataa,kata:,kataa_0885df11-e1f7-4582-8731-d877f55fbab7,"[('tʹaah', 'tʹaah_58825302-35ee-4cc7-ba14-51e09b12f26f', 0.875), (""t'aah"", 't&apos;aah_53b37a98-9c06-4c23-b5d8-447f89451984', 0.875)]"
karas tyd,karaʃ tɨd,karas tyd_08f16d6a-c83c-4cc3-abaf-29b1849cf982,"[('tyd', 'tyd_4468f4e2-2806-4ee7-8c12-fb65d3d3fe4d', 1.0), ('kaɾaʃɨd', 'kaɾaʃɨd_1586f3ed-3480-4767-8d98-e5fd9e2ae9a7', 0.875)]"
häd,hʌd,häd_090789e5-38eb-49f0-9832-3449ab6f71a9,[]
po̰ːh,po̰:h,po̰ːh1_0978090e-f818-4a26-b58c-f420dbef425f,"[('p’ooh', 'p’ooh2_1e6afc0b-7932-4661-90bb-b411828b1b66', 1.0), ('pooh', 'pooh_bdd27c96-ea96-4676-845e-c97461c4e435', 0.9444444444444444), ('p’ooh', 'p’ooh1_8351b529-6dec-4374-bbcc-30b2cb59847d', 1.0), ('pʹooh', 'pʹooh_273cba08-0c9f-4d9f-94d9-781b09b51113', 1.0), ('po̰ːh', 'po̰ːh2_54d92d11-2e4d-45ab-b4b2-76011f12d6a6', 1.0), ('po̰ːʔ', 'po̰ːʔ_1a344c25-1fe2-4d38-87ce-a679b8b74d30', 0.9444444444444444), ('pṵːh', 'pṵːh_f3f47438-a4db-4f2e-96e1-095798984f93', 0.9)]"
gor’ëëj,gorə̰:j,gor’ëëj_09bf004c-752a-4c01-9273-5fad683b954e,[]
majĩĩ,maji:̃,majĩĩ_09c37bac-751e-427d-be41-a58ec663120c,[]
ɟʌŋ,tʃʌŋ,ɟʌŋ_09ce3a4d-30ad-4a1c-be7f-7d36d99bd019,"[('tsäng', 'tsäng_c466f8d0-c63e-4dce-83d9-8000648a6ee9', 1.0)]"
madyyk,madɨ:k,madyyk_09e54f3c-410b-415c-8850-75ea270e4552,"[('adyyk', 'adyyk_a8313ccc-413c-4657-b4ef-14f1259891a3', 0.9090909090909091), ('adyyk', 'adyyk_a8313ccc-413c-4657-b4ef-14f1259891a3', 0.8888888888888888), ('madɯːk', 'madɯːk_a79dbe05-2ba9-47a7-8e82-412e1dcbc089', 1.0), ('madiːk', 'madiːk2_33d37501-2096-43ca-8bdd-cfcc695acd7c', 0.9166666666666666), ('dyyk', 'dyyk_6a1391bb-1f7a-4415-8f8e-23390fb46721', 1.0), ('badɯːk', 'badɯːk_ec4b457c-f57d-40da-9afc-1a28497674a0', 0.9166666666666666)]"
ɟahɤːm,tʃahə:m,ɟahɤːm_09e660e5-6ad4-4eb4-a641-e96e69c773e4,"[('tsahë', 'tsahë_5cfa9979-b8ca-4393-9234-ec3d6f1654a4', 0.875), ('hëë', 'hëë_91665d7c-02fc-42cc-ac63-c3b81b7f4576', 0.8571428571428571)]"
majyyw,majɨ:w,majyyw_0acd6e09-f726-4b4d-986e-4b28969150e2,[]
manee,mane:,manee1_0b01b419-7b9e-43f1-8118-21aa51edd0b7,"[('manee', 'manee2_17ccf89c-14a6-44b7-9d40-d8923bbf7d06', 1.0)]"
jag tyd,jag tɨd,jag tyd_0b168580-4c78-470b-b8cc-9e258c254748,"[('tyd', 'tyd_4468f4e2-2806-4ee7-8c12-fb65d3d3fe4d', 1.0)]"
karejã däk,karejã dʌk,karejã däk_0b44949c-3fa9-411c-8692-741072299109,"[('däk', 'däk_5a08046d-1fe7-4f4c-90da-d3954401cd24', 1.0), ('adäk', 'adäk1_774abf52-37f4-472c-9e05-0d6566bafdfe', 0.8571428571428571)]"
wareem,ware:m,wareem_0bb01848-edbd-4404-9b11-155bb61f0429,[]
rewyyh,rewɨ:h,rewyyh_0bb5289a-e3dd-4da6-8555-1cffdff4c04a,"[('yyh', 'yyh_1dc877e3-ce0f-43ad-817b-0844fa5ccca8', 0.8571428571428571)]"
hʉ́ʉ́y,hə́ə́j,hʉ́ʉ́y_0c0a2b1e-27af-4512-aacb-4c4b8079e5b8,[]
hood t’ëe,ho:d tə̰e,hood t’ëe_0cacc161-ee56-462a-8da8-c01ad97228a4,[]
pɛːɟ,pɛ:tʃ,pɛːɟ_0cd62ddb-87a1-4f24-a851-252d7439844a,[]
yung,juŋ,yung_0d01b43a-977f-4bee-acd8-17cc25699b51,[]
jook,jo:k,jook2_0d9688b1-2ebf-46c8-b27e-708483cdaf63,"[('jook', 'jook1_20a62f2e-7271-429e-8256-71a0acc42b6d', 1.0)]"
atëë,atə:,atëë_0d9d214a-224c-47c4-8261-fdf54959927e,"[('tëëng', 'tëëng_973a6d9c-adec-4a58-98e0-2ac2c9961a59', 0.8571428571428571), ('atëëh', 'atëëh_7e4715cc-02ed-41de-b7e8-6d2b30d174cd', 0.9444444444444444), ('atëëk', 'atëëk_e4926732-ea43-4a15-986d-9d6de8130da2', 0.8888888888888888), ('atëëd', 'atëëd2_d301533a-4748-4f8d-bbfc-ef485aae93c3', 0.8888888888888888), ('atëëd', 'atëëd1_95b72b78-8ccd-4c61-a213-45127865783a', 0.8888888888888888)]"
gurii-i,guri: i,gurii-i_0db187a9-b6e9-4c88-939c-48697a72aa4b,[]
jamaʃiːʃ,jamaʃi:ʃ,jamaʃiːʃ_0dd2859c-8997-4564-99df-330188ad7d78,"[('sii', 'sii_33c93f86-60af-4c20-81f8-b9e6c82adc18', 0.8571428571428571), ('sʹĩĩs', 'sʹĩĩs_04a67789-1620-4fc0-84d2-208fb49de8d2', 0.9)]"
kã̰ːd,kã̰:d,kã̰ːd_0e39e610-eab0-434f-95db-a602eca2041d,[]
karawyynh,karawɨ:ɲ,karawyynh_0e539cb5-a78b-455b-87f2-4fde1344448a,[]
