entry_id,matches
awas_a6203a13-3843-4ad1-87a4-8df273641d0a,"{'awa_81084abe-5872-41b3-bb65-8b687a3b00a1': ('awa', 0.8571428571428571)}"
takod2_a630902b-b26a-4906-870e-2c4c62b001b1,"{'takod_b4a9928d-a6e7-43f6-8956769d02980cfa': ('takod', 1.0)}"
tyyg_aa58bcaf-dbda-4802-ad73-a4a3d2881445,"{'tɨ:ŋ_e2b5fecf-076d-455e-afca70e5369e1d23': ('tɨ:ŋ', 0.875), 'tɨ:_e4e003b3-b87d-4e64-853a137ee8f53b30': ('tɨ:', 0.8571428571428571)}"
wëë_aa8555ee-bca6-4074-a9cd-061cb1c06ff5,"{'waëë_860ebf6f-0614-4d29-b3a5-bc6d391c2301': ('waëë', 0.8571428571428571), 'wë3_d683ed0f-5336-42bd-973a-dd2b94750fd0': ('wë', 0.9), 'wə:j_17bd0a2e-c26a-47a3-88c5d757cac06aa0': ('wə:j', 0.8571428571428571), 'wə:_9485bb49-c230-459f-b30e231a60b19151': ('wə:', 1.0), 'wə_a802edee-a71f-41cf-b15a48d2cd10f3e6': ('wə', 0.9), 'wëëm_990d5cb5-98be-420d-9662-a39d1662fc24': ('wëëm', 0.8571428571428571)}"
ooj_abc3063b-7d75-430c-9300-005e926c6475,"{'booj_3c9337be-a478-493e-bed4-c0f035f02c63': ('booj', 0.8571428571428571), 'hooj1_8685f141-0aa5-4267-b4cb-681284bbe011': ('hooj', 0.8571428571428571), 'hooj2_96c60cce-1d22-4b41-8ed3-e5948e58cd74': ('hooj', 0.8571428571428571)}"
wajats2_ad8e1685-a540-42c7-a1a6-345f1d62a409,"{'wajats_ad8e1685-a540-42c7-a1a6-345f1d62a409': ('wajats', 1.0)}"
ji tsyym sahõnh hẽ_aeffdfca-557a-4b2e-84d8-63802e1f73f5,"{'ji moo sahõnh hẽ_41b7a6c4-69cb-4c16-82d9-1dbd63a69c12': ('ji moo sahõnh hẽ', 0.8857142857142857)}"
kamara_af85b9e0-1a4c-4e8f-8374-b9591d91f1fc,"{'kamarab_9834bf06-b6ae-4946-9bdc-ee67fec8e3be': ('kamarab', 0.9230769230769231)}"
adëb_af8db4b9-6dae-4999-9503-d81a5bfa101e,"{'nadëb1_64797e4a-07d3-4f0b-a899-0a27e395ea25': ('nadëb', 0.8888888888888888)}"
gód2_afb44df8-075a-40c9-8eed-b4be294caa89,"{'gód_afb44df8-075a-40c9-8eed-b4be294caa89': ('gód', 1.0)}"
agä2_b43dfe1e-4d9c-44c4-966b-7cdca5ef5b85,"{'bagä_e27bf773-9778-44d5-936b-d75996aaef64': ('bagä', 0.8571428571428571)}"
 =kóm1_b4ef6f78-08bb-4d23-9cba-f68a176930c7,"{' =kóm2_c8ff3ede-cd52-435e-aa16-b8e6ad9ac937': (' =kóm', 1.0)}"
j’aa_b7a0d5d6-dde2-42b6-ab7b-0d0db44ad378,"{'jaah_73c5535f-972b-4711-b80a-904d9c468a08': ('jaah', 0.875)}"
mapah1_b822e839-8c6d-40df-b269-0a5a65773509,"{'mabaah1_4fd676f8-cdb4-436b-87e3-2cc5dcfd33d6': ('mabaah', 0.8636363636363636)}"
s’ỹỹw_b90d8855-d8de-43c3-a4b2-c876c27d497c,"{'s’ỹỹ1_4b90f87b-b955-4578-a4eb-450e5425a275': ('s’ỹỹ', 0.9090909090909091), 'hɨ̰̃:w_d2f0e9be-4c7f-41dc-960b912373df7380': ('hɨ̰̃:w', 0.875)}"
sëh_b9ee0750-e9ca-42a4-b61c-4fb14998e2c4,"{'s’ëëh_c2500249-3e46-4056-8e86-6d258b177a45': ('s’ëëh', 0.875)}"
taju_b9feb5fe-8bc7-4677-bb98-57e7f4463a3d,"{'aju_56ea33aa-145e-4f13-a0ce-5192ec690e52': ('aju', 0.8571428571428571)}"
masook2_bad07ccf-c8ca-47a3-b227-48abab0ed633,"{'masoo_9ce33e0d-aa4c-444b-921e-bcdca4f98778': ('masoo', 0.9090909090909091)}"
ji metyy doo_bb981eb0-8686-4579-88a8-2fd9c910caa5,"{'ji mehëëm doo_41cdd323-ee8c-4975-aba4-daf5052fc895': ('ji mehëëm doo', 0.86), 'ji gamehỹỹ doo_636377d7-1beb-43af-9847-12601662d920': ('ji gamehỹỹ doo', 0.8518518518518519)}"
pud_bc1dd6d3-4e78-41a7-888f-9200c232f3bc,"{'puud_6aac88b8-8517-4460-9bb1-0a8642d54dab': ('puud', 0.9285714285714286)}"
pëëw_bc51e1f0-68ce-4051-b925-7b7eef2ce693,"{'pə:_8eeb53c7-1d25-48da-8b2d51f5314aa792': ('pə:', 0.8571428571428571), 'bə:w_972164d7-37ea-414b-a588f329a9ce02f9': ('bə:w', 0.875), 'pə:w_afd1d56f-ca8f-4cca-9561cec36292ec9e': ('pə:w', 1.0)}"
