entry_id,headword,morph_type,pronunciation,variant_of,these_vars,note,sense,date,bibliography,other_sources
ra:d_8bdb5180-2068-4a94-9105f4464640bb57,ra:d,stem,ra:d,{},"{'ɾaːd_8bdb5180-2068-4a94-9105-f4464640bb56': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{'Note': 'Predicted phonemic form from source Martins.'},['99179963-d189-4ee0-bd91-c2a93cdd6853'],2018-06-20T05:09:53Z,Martins,{'Martins': 'ɾaːd'}
gʌ_8c3e9683-efa0-43fd-b2c67fb130828ae9,gʌ,stem,gʌ,{},"{'gä_8c3e9683-efa0-43fd-b2c6-7fb130828ae8': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['e8fdaa09-effb-413a-b981-cc07f2c1760a'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'gä'}
ʃo:_8d4ce206-887a-448d-a7db8239d7cbecd0,ʃo:,stem,ʃo:,{},"{'ʃoːʔ_634a34c1-ac25-46b2-88d0-2498c1253e6f': {'type': '_component-lexeme', 'variant-type': 'Martins'}, 'soo1_8d4ce206-887a-448d-a7db-8239d7cbeccf': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['10c3e729-69b1-41ac-b7bb-5c81a0eee289'],2018-03-21T15:10:53Z,SIL Dict 2011,"{'Martins': 'ʃoːʔ', 'Sil Dict 2011': 'soo'}"
ʃɔ̰:_8d669ad1-8a35-4d91-bda3160c4dbf2672,ʃɔ̰:,stem,ʃɔ̰:,{},"{'ʃɔ̰ːʔ_8d669ad1-8a35-4d91-bda3-160c4dbf2671': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{'Note': 'Predicted phonemic form from source Martins.'},['9aaf8199-593b-401d-ab1b-556e111ad6d1'],2018-06-20T05:09:53Z,Martins,{'Martins': 'ʃɔ̰ːʔ'}
ɛcɔ:h_8da470eb-b47f-424c-aae783ae212b24b0,ɛcɔ:h,stem,ɛcɔ:h,{},"{'ʔɛɟɔːh_8da470eb-b47f-424c-aae7-83ae212b24af': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{'Note': 'Predicted phonemic form from source Martins.'},['5ab05320-805f-46fd-9d4a-a663932bd7da'],2018-06-20T05:09:53Z,Martins,{'Martins': 'ʔɛɟɔːh'}
bʌ_8df25412-204a-46bc-a7873ef67101e1ce,bʌ,stem,bʌ,{},"{'bä1_8df25412-204a-46bc-a787-3ef67101e1cd': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['70171a6d-76cb-4765-aa3e-55a46c7d07c7'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'bä'}
nu hajo:h_8e0156d2-2c71-4332-bc8cc9374b905b4f,nu hajo:h,phrase,nu hajo:h,{},"{'nu hajooh_8e0156d2-2c71-4332-bc8c-c9374b905b4e': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['a42313c2-bde0-4404-9e5a-2b132e0b8fb4'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'nu hajooh'}
ʃɔ̃j_8e6a0cb5-acf9-4b5c-9e9a934623fb6e8f,ʃɔ̃j,stem,ʃɔ̃j,{},"{'ʃɔ̃j_8e6a0cb5-acf9-4b5c-9e9a-934623fb6e8e': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{'Note': 'Predicted phonemic form from source Martins.'},['6129a80c-815d-463c-8ae0-f6f6795b9642'],2018-06-20T05:09:53Z,Martins,{'Martins': 'ʃɔ̃j'}
tə̰:n_8ed3ef95-47fe-4b11-84da14d3e25614cb,tə̰:n,stem,tə̰:n,{},"{'tʹëën_8ed3ef95-47fe-4b11-84da-14d3e25614ca': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['31af3140-0dd6-4e76-b1d8-cf9a320aab07'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'tʹëën'}
pə:_8eeb53c7-1d25-48da-8b2d51f5314aa792,pə:,stem,pə:,{},"{'pɤːʔ_25842643-9b52-44b1-8b43-182c1b11992f': {'type': '_component-lexeme', 'variant-type': 'Martins'}, 'pëë_8eeb53c7-1d25-48da-8b2d-51f5314aa791': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['7f757cca-4216-4be2-8df1-00f0104a40c8'],2018-03-08T07:17:53Z,SIL Dict 2011,"{'Martins': 'pɤːʔ', 'Sil Dict 2011': 'pëë'}"
