,bibliography,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
buʃu:h_a1465308-0514-409a-bd7bd802129976d6,encontrado na cartilha 4; lição 2,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,buʃu:h,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'busuuh'},buʃu:h,['b1601ccf-4cca-4c12-8c21-e57e47975ec6'],"{'busuuh_a1465308-0514-409a-bd7b-d802129976d5': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 2'}}",{}
kajajʌ̃n_a198d2fa-be4a-4054-8fb17ab2159a74da,encontrado na cartilha 4; lição 17,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,kajajʌ̃n,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'kajajä̃n'},kajajʌ̃n,['ed15c35a-3252-4d15-a128-6b5eafbbf5c4'],"{'kajajä̃n_a198d2fa-be4a-4054-8fb1-7ab2159a74d9': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 17'}}",{}
ʃahõɲ_a1ab4219-36f5-430c-a60658f9e05fbf5e,Weir 1994,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z,ʃahõɲ,stem,{'Note': 'Predicted phonemic form from source Weir.'},{'Weir': 'sahõnh'},ʃahõɲ,['47f25ff7-6c5b-48a8-90bf-80071db11447'],"{'sahõnh_a1ab4219-36f5-430c-a606-58f9e05fbf5d': {'type': '_component-lexeme', 'variant-type': 'Weir 1994'}}",{}
taʃo_a1fdbd00-3580-4c9e-9ee94c8fd4f4ded1,encontrado na cartilha 4; lições 8  17,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,taʃo,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'taso'},taʃo,['81d7e359-3648-41a4-9768-f71bf2a10c3b'],"{'taso_a1fdbd00-3580-4c9e-9ee9-4c8fd4f4ded0': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lições 8  17'}}",{}
ga:h_a3c75190-8a05-4f88-928ab902d20e8ad1,SIL Dict 2011,2018-03-22T21:00:14Z,2018-03-22T21:00:14Z,ga:h,stem,{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},{'Sil Dict 2011': 'gaah'},ga:h,['17fa4cea-ea5e-4fac-9e4d-925efe463ffb'],"{'gaah_a3c75190-8a05-4f88-928a-b902d20e8ad0': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{}
gecək_a7a832cd-2d78-4d1b-9e525a79e3c734cf,encontrado na cartilha 4; lição 9,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,gecək,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'getsëk'},gecək,['88e4770f-4dae-4f75-b006-5f244ab11a8f'],"{'getsëk_a7a832cd-2d78-4d1b-9e52-5a79e3c734ce': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 9'}}",{}
dina:_aaca7cab-aaaf-4ef1-a74a337cc4f186cc,Weir 1994,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z,dina:,stem,{'Note': 'Predicted phonemic form from source Weir.'},{'Weir': 'dinaa'},dina:,['532dc17f-bf65-4d18-9545-d3e0a9b1aa66'],"{'dinaa_aaca7cab-aaaf-4ef1-a74a-337cc4f186cb': {'type': '_component-lexeme', 'variant-type': 'Weir 1994'}}",{}
kɨ:h_abaed6a6-acab-4bad-990983f48cf3c885,encontrado na cartilha 4; lições 5  13,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,kɨ:h,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'kyyh'},kɨ:h,['c20b16fb-880d-4de4-aa1c-8ecbe9fd00d1'],"{'kyyh_abaed6a6-acab-4bad-9909-83f48cf3c884': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lições 5  13'}}",{}
pagʌ_ad273850-e38f-4dc0-99c6e480470ff160,encontrado na cartilha 4; lição 4,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,pagʌ,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'pagä'},pagʌ,['e15a640f-2051-4b54-92b9-da7fd8180204'],"{'pagä_ad273850-e38f-4dc0-99c6-e480470ff15f': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 4'}}",{}
dokɨ:h_aebd2424-5dde-472b-b19f3b6a55834e5b,encontrado na cartilha 4; lição 9,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,dokɨ:h,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'dokyyh'},dokɨ:h,['f5c835c7-d8fd-4550-86b8-1ae3eee1f424'],"{'dokyyh_aebd2424-5dde-472b-b19f-3b6a55834e5a': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 9'}}",{}
cək_af17fc38-6498-4d80-a76eee0c115cd3ac,encontrado na cartilha 4; lição 9,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,cək,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'tsëk'},cək,['16f88cd2-c7ca-4b31-8341-decc1d29ac0f'],"{'tsëk_af17fc38-6498-4d80-a76e-ee0c115cd3ab': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 9'}}",{}
bano̰:_b28597b2-bb8b-4ed0-b970d41b6317903d,encontrado na cartilha 4; lição 11,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,bano̰:,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'banʹoo'},bano̰:,['aa2601e2-fed8-4d1f-8f5f-6f9cbc74cddc'],"{'banʹoo_b28597b2-bb8b-4ed0-b970-d41b6317903c': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 11'}}",{}
hɔ̃:h_b51b4e2e-351b-48eb-a8b366978cee8e78,Martins,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z,hɔ̃:h,stem,{'Note': 'Predicted phonemic form from source Martins.'},{'Martins': 'hɔ̃ːh'},hɔ̃:h,['d42a357b-2e69-47da-8c38-23056aefd83d'],"{'hɔ̃ːh_b51b4e2e-351b-48eb-a8b3-66978cee8e77': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{}
taho:h_bccaeab6-2645-401a-a5e2394defe8de7e,Martins,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z,taho:h,stem,{'Note': 'Predicted phonemic form from source Martins.'},{'Martins': 'tahoːh'},taho:h,['39d5193f-d845-4e12-a3da-9ff401c49221'],"{'tahoːh_bccaeab6-2645-401a-a5e2-394defe8de7d': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{}
ʃɛt nado_c209e7dd-129a-49b3-b4914d9f0b62e192,encontrado na cartilha 4; licão 14,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,ʃɛt nado,phrase,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'sét nado'},ʃɛt nado,['a7326904-2bea-4b3e-b444-c254851fa48c'],"{'sét nado_c209e7dd-129a-49b3-b491-4d9f0b62e191': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; licão 14'}}",{}
manʌh_c495f6aa-c045-4ac5-93b74893ac314a2b,SIL Dict 2011,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,manʌh,stem,{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},{'Sil Dict 2011': 'manäh'},manʌh,['ba01ed64-5100-4894-b46f-287c2da93272'],"{'manäh_c495f6aa-c045-4ac5-93b7-4893ac314a2a': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{}
dawɨd_c4b366b9-6429-4cf6-9f6ea0848ac48086,Martins,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z,dawɨd,stem,{'Note': 'Predicted phonemic form from source Martins.'},{'Martins': 'dawɯd'},dawɨd,['61381378-5c4c-45dc-b5b6-0ca4118a5bb0'],"{'dawɯd_c4b366b9-6429-4cf6-9f6e-a0848ac48085': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{}
padə:k_c5a1d925-6abb-4768-b075d78b9ce0ee54,SIL Dict 2011,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,padə:k,stem,{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},{'Sil Dict 2011': 'padëëk'},padə:k,['996be76d-d27f-4c52-972f-368f85e36642'],"{'padëëk2_c5a1d925-6abb-4768-b075-d78b9ce0ee53': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{}
pa_c5ad89ed-d105-49bc-bedca759b5d8f328,encontrado na cartilha  4; lição 4,2018-03-29T13:01:35Z,2018-03-29T13:01:35Z,pa,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'pa'},pa,['d1b242cd-f503-417b-a6f3-995553489fb7'],"{'pa2_c5ad89ed-d105-49bc-bedc-a759b5d8f327': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha  4; lição 4'}}",{}
aʃɨ̰:h_c75f7d44-6fb0-498b-9a97862dd984bf7c,encontrado na cartilha 4; lição 3,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,aʃɨ̰:h,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'asʹyyh'},aʃɨ̰:h,['90acd1dc-2c3b-4e1a-9e64-6d57612c8598'],"{'asʹyyh_c75f7d44-6fb0-498b-9a97-862dd984bf7b': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 3'}}",{}
aə:k_c92360d1-bfc8-45ff-acd112983ebc7aef,encontrado na cartilha 4; lição 9,2018-04-03T22:42:08Z,2018-04-03T22:42:08Z,aə:k,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'aëëk'},aə:k,['e4489566-a302-4526-ac2c-198ba9bb7271'],"{'aëëk_c92360d1-bfc8-45ff-acd1-12983ebc7aee': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 9'}}",{}
həbna̰:_cb31e5a8-cf19-4967-8c75ed31937289da,Weir 1994,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z,həbna̰:,stem,{'Note': 'Predicted phonemic form from source Weir.'},{'Weir': 'hʉbnxaa'},həbna̰:,['f588a331-9a9e-4d9f-8518-6cb3f39b4047'],"{'hʉbnxaa_cb31e5a8-cf19-4967-8c75-ed31937289d9': {'type': '_component-lexeme', 'variant-type': 'Weir 1994'}}",{}
