entry_id,status,matches
nä1_4b7f5948-bdce-4500-aff6-a4162c201a26,,"{'nʌ_4b7f5948-bdce-4500-aff6a4162c201a27': ('nʌ', 1.0)}"
tón2_4d78c40b-dc3b-49b4-94e7-e7eead74ebae,,"{'atɔn_bc968ce0-9509-4ec9-b8d1a524b3bef357': ('atɔn', 0.8571428571428571)}"
paam_507b60c0-f8bd-4deb-87bd-f5e13faedf4a,,"{'paa_2087aff1-e889-4f5e-981c-e1f275c4e308': ('paa', 0.8571428571428571)}"
kas&apos;aag_523b72bb-98b3-4577-99d1-32895c155098,,"{'kas’aag_1174c294-d1e6-4e74-8fae-7bf655663f34': ('kas’aag', 1.0)}"
heg&apos;ããs_52bb2a30-8b95-493c-a434-90c1fd883149,,"{'heg’ããs_701ede49-6082-49ba-9bb8-839bb0f857e8': ('heg’ããs', 1.0), 'hegã:_42931715-9a8f-4865-830c5c56430ab5a7': ('hegã:', 0.8928571428571429), 'hagã̰:ʃ_4d9901f6-f587-460a-86b1a99f9948abdb': ('hagã̰:ʃ', 0.875)}"
ejä_532c594b-61f9-462e-a732-752bf0736a08,,"{'ejäm_617a8588-a4c9-4f09-9bac-7006c8e84e31': ('ejäm', 0.8571428571428571)}"
hawät4_54c34f11-38da-42ad-bbea-ba9bc67ea772,,"{'awät_94af7d8a-ba5e-4b2b-9ef7-cfa69923b978': ('awät', 0.8888888888888888), 'hawʌt_ee5984fe-4b74-4ff7-994be1c68e1486b7': ('hawʌt', 1.0)}"
marahuud_579cf0f2-5521-4f7c-8650-e9e7775a6a6d,,"{'marahud_579cf0f2-5521-4f7c-8650-e9e7775a6a6d': ('marahud', 0.9666666666666667), 'maɾahuːd1_679546ee-b5b5-4815-a4dd-08862405b791': ('maɾahuːd', 1.0), 'marahud_be32a4cd-3200-41a9-bd5c98c7e9a363c4': ('marahud', 0.9666666666666667), 'marahu:d_ef1c8465-a5e4-4269-b0ee40fed97f627c': ('marahu:d', 1.0)}"
bëh_59d8bf5a-dd20-44e8-b7a9-5081bab044ae,,"{'bëëh2_59d8bf5a-dd20-44e8-b7a9-5081bab044ae': ('bëëh', 0.9285714285714286), 'bə:h_962a8de8-7f65-4e60-b8a4c16d27943a33': ('bə:h', 0.9285714285714286)}"
kyy_59de41e9-b105-4c69-a886-a5bb65ba9afd,,"{'kɨ:h_abaed6a6-acab-4bad-990983f48cf3c885': ('kɨ:h', 0.9285714285714286)}"
sëëk_5e93b904-f881-49c4-9fdf-44fd821acf23,,"{'asëëk_a66ea5e8-0c6b-4415-bf0f-ed7c04faaca2': ('asëëk', 0.8888888888888888), 'ʃə:_77981701-bff1-498b-a88bf2ff0d46a7a3': ('ʃə:', 0.8571428571428571)}"
hyb n&apos;aa_5ef1ef1c-464b-45e0-b875-d2a39c507c2f,,"{'həbna̰:_cb31e5a8-cf19-4967-8c75ed31937289da': ('həbna̰:', 0.8666666666666667), 'hɨb na̰:_f36368e5-54f1-4cad-87fd7c40436bda70': ('hɨb na̰:', 1.0)}"
ab&apos;ëëh_61005ddd-f254-40c6-b2cd-2f1a0e5ce7b4,,"{'dabëëh_01834ee1-a032-4bfb-8827-07f2ace9c99f': ('dabëëh', 0.875), 'abaah_3bf47a35-c68f-4f2b-ae4a-3d5fbfc00be2': ('abaah', 0.8636363636363636), 'apëëh_6a9e3b06-de1f-422d-a058-053dfc248b66': ('apëëh', 0.8636363636363636), 'abëëh_6e59c75d-2c2e-434c-b175-579c2363b6c5': ('abëëh', 0.9545454545454546), 'kabʹëë_9688ec88-f529-4209-8733-51b35e8edfce': ('kabʹëë', 0.875), 'abə̰:h_61005ddd-f254-40c6-b2cd2f1a0e5ce7b5': ('abə̰:h', 1.0)}"
b&apos;ëëp_61864f59-37ff-4169-92dc-b8034e5db3e3,,"{'bə̰:p_61864f59-37ff-4169-92dcb8034e5db3e4': ('bə̰:p', 1.0)}"
aanh_62913159-562d-47ef-be16-d31135de400e,,"{'ʔãːɲ1_11011f18-2e56-4f47-9a70-615f7235c757': ('ʔãːɲ', 0.9285714285714286), 'ã:ɲ_9bc7cbd8-5d64-4c37-973ffcde6b72cd61': ('ã:ɲ', 0.9285714285714286)}"
boog_62ca10cf-1f6b-4649-90fa-b022c5c34283,,"{'boog1_62ca10cf-1f6b-4649-90fa-b022c5c34283': ('boog', 1.0)}"
