entry_id,bibliography,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
maỹỹn_3ee29e3d-5352-4c3b-adf8-d17f0fcc0206,Epps/Obert Fieldnotes 2018,2019-01-14T03:46:56Z,2019-01-14T03:46:56Z,maỹỹn,stem,{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},{'Sil Dict 2011': 'mayyn'},mãʔɨ̃:n %OR% maɨ:n,"['81d67c22-186f-4d2e-9791-90a4682266aa', '524e2ad3-3854-45ff-aad8-6ff4b5292003']","{'mayyn_d78aebcd-72b7-4625-9c88-32586feea810': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",
jadatog_3fe4e340-414b-45a8-9f44-8fa4206a37c8,SIL Dict 2011,2018-03-08T07:17:52Z,,jadatog,stem,{},,jadatog,,,"{'b1175a2d-aa4a-4330-b39f-fa0a408497a5': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}"
maëts_401e55d0-b859-4ce4-b1bc-350692fd76a2,Fieldnotes Epps/Obert; 2018,2019-01-14T03:46:55Z,,maëts,stem,,,mãʔəɟ̚,['45b0137d-a66c-4ac8-a568-1066226e1749'],,{}
kawed_401e72f5-e1dc-4968-bc4b-e9fc98db9a07,Fieldnotes Epps/Obert; 2018,2018-07-27T20:30:16Z,,kawed,stem,{},{'Barbosa': 'kawɛd'},,['2f840eec-5f8d-4099-90d0-1da260eb302d'],"{'kawɛd_aa7dd9c5-709a-4646-b503-eed11dae5567': {'type': '_component-lexeme', 'variant-type': 'Barbosa'}}",{}
hawak_406031f7-243a-44df-ad13-e42e19e06c4c,Fiednotes Epps/Obert; 2018,2018-07-11T00:06:02Z,,hawak,stem,{},,haˈwak˺,['9a35ebb1-3ebd-4a9a-a1ee-fe8ee45c1ee7'],,{}
tabus yb_4061a782-ea88-4960-80c8-bb88f037d80b,Fieldnotes Epps/Obert; 2z018,2018-07-27T22:56:53Z,,tabus yb,phrase,{},,,['7a11343f-f836-4e12-8219-39572df44f9d'],,{}
pahuunh_4074cb96-a23d-4f17-9d18-542ba4da5db8,Fieldnotes Epps/Obert; 2018,2018-07-08T18:47:26Z,,pahuunh,stem,{},,paˈhu:ɲ],['f198f67b-d5b1-4247-a10c-d182cdfe0ded'],,{}
esëëh_41147169-f0ca-4b81-8f59-25f9ea75d1e5,Fieldnotes Epps/Obert; 2018,2018-07-10T00:12:23Z,,esëëh,stem,{},,ʔeˈʃǝ:h,['a14e86f8-3666-4562-9285-69f3cb6616c1'],,{}
hʹyy kajóh_41a3ada6-f6f8-47fe-9b36-cea84bd65459,SIL Dict 2011,2018-03-08T07:17:53Z,,hʹyy kajóh,phrase,{},,hɨ̰: kajɔh,,,"{'01b184a8-ee9b-4f84-85b6-ae1dcafd9c1f': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}"
kawatäg_41aec77a-d380-4b9c-8389-8ca9c55826f6,Fieldnotes Epps/Obert; 2018,2019-01-14T03:46:55Z,,kawatäg,stem,,,kawatʌg̚,['657465a3-bc4a-4209-974c-7a28d5cadc63'],,{}
