entry_id,matches,def
wog_498db3e4-f431-454a-9be0-f767c01c3ed5,"{'wuug_c0870f59-5f40-4989-a45d-50672fc64c3e': ('wuug', 'charm;feitiço')}",belly;barriga
karaak2_49cb17c7-16b1-4a6e-a0e1-c1b1b7c2654e,"{'karak_6f6f498f-e045-44a7-b814505bba4b8eb5': ('karak', 'capinar')}",chicken;galinha
s’ỹỹ1_4b90f87b-b955-4578-a4eb-450e5425a275,"{'s’ëëh_c2500249-3e46-4056-8e86-6d258b177a45': ('s’ëëh', 'dream;sonho'), 'cɨ:_1edee5a9-55fe-42b8-b44ecde6c5f9d4dc': ('cɨ:', 'embrulho de folha'), 'ʃi:_33c93f86-60af-4c20-81f8b9e6c82adc19': ('ʃi:', 'com'), 'ʃə:_77981701-bff1-498b-a88bf2ff0d46a7a3': ('ʃə:', 'camarão'), 'cɨ:_848fc074-d423-48a0-92ca90f8e8726e7f': ('cɨ:', 'pupunha'), 'ʃḭ:_87e2a37f-5fa9-4360-8557ae895c42d81f': ('ʃḭ:', 'beliscar (ʃiʔ inf; ʃḭːʔ n.i.)')}",left;esquerda
ma=_4d9fb59f-a91b-4993-be66-06611c118977,"{'ma _54824c04-d384-4521-8a423b26b9a0c86f': ('ma ', 'INSTR;INSTR')}",2sg.A;2sg.A
jawyk_4e1f40a1-8c39-45c3-86b9-92a152d8e952,"{'jawëk_11b99d8c-9b68-4e6b-869d-e3530425e72b': ('jawëk', 'japurá;japurá')}",heavy;pesado
mabaah1_4fd676f8-cdb4-436b-87e3-2cc5dcfd33d6,"{'mapah1_b822e839-8c6d-40df-b269-0a5a65773509': ('mapah', 'papaya;mamão'), 'mabëng_c197d537-44e1-4a6f-abe7-fa15aead02e7': ('mabëng', 'green.acouchi;cutiara')}",bee;abelha
hỹỹj2_53908455-3b39-4ca5-bc5b-bdcd9f258d77,"{'hëëj_d8cd3b39-bb36-4332-b938-a6f4b9560376': ('hëëj', 'forest;mato'), 'hɨ̃:j_4462532d-74ae-455b-84335a21f802135a': ('hɨ̃:j', 'formiga.sp'), 'hɨ:j_49643aa0-9b00-45bc-9a06f4da8d189eb0': ('hɨ:j', 'comida.farelo')}",brother;irmão
t&apos;aah_53b37a98-9c06-4c23-b5d8-447f89451984,"{'t’ëëng_7fad6677-006f-46f7-991e-8fd6199e5d12': ('t’ëëng', 'tapir;anta'), 'tʌ̰:h_32b5d850-3ef4-4d75-b82bf2d5c08972a': ('tʌ̰:h', 'tapuru'), 'tah_396fe9f8-b06b-48e2-92a74335e87b321d': ('tah', 'o.próximo'), 't&apos;ëëng_7fad6677-006f-46f7-991e-8fd6199e5d12': (""t'ëëng"", 'tapir;anta'), 'tëëng1_973a6d9c-adec-4a58-98e0-2ac2c9961a59': ('tëëng', 'firewood;lenha')}",son;filho
hood_53da5edb-5f86-4600-8bbe-1d02414790f6,"{'hũũt_fcbc9a08-ecac-4e11-b568-cad430854b14': ('hũũt', 'tobaco;tabaco'), 'hũ:t_ccfd21a0-acc5-4821-95f9e6b5b9d5570e': ('hũ:t', 'derreter (n.i. huːd)')}",beach;praia
wyyw_53e36f05-f876-4b30-9d3d-4be4ec11a4ec,"{'wëm_429bd290-09e2-451d-876e-1e9f8f1d97e2': ('wëm', 'bat;morçego'), 'mỹỹm_97557290-0196-462e-8057-e1ef84dc9ee7': ('mỹỹm', 'stone.axe;machado.de.pedra'), 'wɨm_d70249ce-c638-4f54-9217c3728f3fc3e6': ('wɨm', 'quatipuru'), 'wɨ̰:m_eda10c90-25f4-4535-b7cf80e5d874e629': ('wɨ̰:m', 'siririca'), 'wëëm_990d5cb5-98be-420d-9662-a39d1662fc24': ('wëëm', 'bat;morcego')}",tocandira;tocandira
kamasi_557c586d-90af-49ad-b78b-b719e6d0ae25,"{'gamatsih_c81030cf-af27-4010-b3eb-e745b2f13d26': ('gamatsih', 'tick;carrapato')}",sloth;bicho.preguiça
pëëd_575e234e-0e14-44a8-a947-b90d4f165f7b,"{'baad_068ae71c-c922-438c-9569-dad5b2122f74': ('baad', 'well;bem'), 'pa:n_e4920278-36b2-4b6c-b2669c72f3055ccf': ('pa:n', 'igual')}",?;cunuri
bëëh2_59d8bf5a-dd20-44e8-b7a9-5081bab044ae,"{'bʹaah_20a69c66-ccf7-44e3-80f2-9c04da85502d': ('bʹaah', 'tree;árvore'), 'byyh_c6283908-ed9f-4529-ab22-f0a452ed88b6': ('byyh', 'skin;pele'), 'pa:h_5d6b8726-aa64-4b93-9329884a1e4b1af9': ('pa:h', 'passado'), 'bʌ_8df25412-204a-46bc-a7873ef67101e1ce': ('bʌ', 'na.frente'), 'pə:_8eeb53c7-1d25-48da-8b2d51f5314aa792': ('pə:', 'cobra.sp'), 'bə:h_962a8de8-7f65-4e60-b8a4c16d27943a33': ('bə:h', 'suco'), 'bëëh_962a8de8-7f65-4e60-b8a4-c16d27943a32': ('bëëh', 'suco'), 'bëh_59d8bf5a-dd20-44e8-b7a9-5081bab044ae': ('bëh', '2PL;2PL'), 'mäh_63073248-c558-4fc1-8f4c-63527c9e11c7': ('mäh', 'RPT;relatado (abreviação?)')}",2PL;2PL
tsahë_5cfa9979-b8ca-4393-9234-ec3d6f1654a4,"{'cahã_a603bcea-d99c-4de3-91ae71277e16d7ad': ('cahã', 'pica-pau.sp')}",wet;molhado
mawyyt_5f74d4a3-54da-44ba-8ba4-d5ab20a32d82,"{'wawët_135af2d2-bd6b-445c-a1ed-837cb137c40d': ('wawët', 'wild.dog;cachorro.do.mato')}",tie.up.wood.with.cipó;amarrar.pau.com.cipó
tooh_6043f2b6-842d-49d1-9764-2fd9ab21b3ba,"{'dooh1_3ce71fc8-bcb6-49e2-aecf-4bba9da31ed4': ('dooh', 'NEG;NEG'), 'tũ:h_1b11b954-a8f9-47e3-8041e7ad344c4fb7': ('tũ:h', 'no.chão'), 'du:h_1c1e2650-1809-4f40-a14833b3a9902630': ('du:h', 'nádegas'), 'tũ:_22152a27-e164-405e-b4b5f3b9d7f6331e': ('tũ:', 'floor;ground'), 'do:_53082cdc-d65b-4949-94043a47fd80f8b6': ('do:', 'be (n.i. do)'), 'do:_8f96a134-db02-4580-a0d5599f0a181e2': ('do:', 'the.one'), 'tu_983b21ad-1243-49cf-850fb9211c029c38': ('tu', 'esteio'), 'do:_b37dc192-f0fc-4fc4-acf9e4423cdd81e2': ('do:', 'take')}",white.lipped.peccary;queixada
