headword,ipa,entry_id,matches
doo,do:,doo2_53082cdc-d65b-4949-9404-3a47fd80f8b5,"[('dooh', 'dooh2_f50666b1-7d7e-449a-8205-0cda6a02f920', 0.9285714285714286), ('dooh', 'dooh1_3ce71fc8-bcb6-49e2-aecf-4bba9da31ed4', 0.9285714285714286), ('doo', 'doo3_b37dc192-f0fc-4fc4-acf9-e4423cdd81e1', 1.0), ('doo', 'doo1_96f3879f-cf4c-469d-ac46-4a89f9d8374d', 1.0), ('doːh', 'doːh1_d9caa3ff-06cc-413b-a9c7-398060ef979c', 0.9285714285714286), ('doo', 'doo4_8f96a134-db02-4580-a0d5-0599f0a181e1', 1.0)]"
hỹỹj,hɨ:̃j,hỹỹj2_53908455-3b39-4ca5-bc5b-bdcd9f258d77,"[('hyyj', 'hyyj_49643aa0-9b00-45bc-9a06-f4da8d189eaf', 0.9444444444444444), ('hỹỹj', 'hỹỹj1_b8de92d9-5f80-44ee-a6c1-83a6ea312225', 0.9), ('hɨ̃ːj', 'hɨ̃ːj_4462532d-74ae-455b-8433-5a21f8021359', 1.0)]"
p’yym,pɨ̰:m,p’yym2_53980f41-3bde-459e-b49d-347aab65296a,"[('p’yym', 'p’yym1_c58f3f30-b24e-49b3-89c7-a8dbbcc5fc5b', 1.0), ('pʹyym', 'pʹyym_48a754db-ea05-4440-bcad-eec33e19477e', 1.0)]"
masäk,maʃʌk,masäk_53f6205b-cb80-42ad-82da-874ffdd862c4,"[('ʃʌ̃k', 'ʃʌ̃k_9b694680-1ac9-4aca-a464-37162aab008f', 0.9285714285714286)]"
ajãn,ajãn,ajãn_542c8377-02d7-46b2-a5d5-238ce60994a9,"[('tajãn', 'tajãn_e751393d-4a08-4d05-8fc5-1a679d6e0cf9', 0.9090909090909091)]"
bahesoos,baheʃo:ʃ,bahesoos_543ac391-204a-45b6-b0db-ba18adc0f810,"[('soo', 'soo1_8d4ce206-887a-448d-a7db-8239d7cbeccf', 0.8571428571428571), ('esoos', 'esoos_add3968e-1af1-48bc-8f56-5f24adf3025e', 0.9090909090909091), ('ʃoːʔ', 'ʃoːʔ_634a34c1-ac25-46b2-88d0-2498c1253e6f', 0.8571428571428571)]"
buuj,bu:j,buuj_54613d00-08ea-44ed-b996-59610ba3cac6,"[('booj', 'booj_3c9337be-a478-493e-bed4-c0f035f02c63', 0.875)]"
kamasi,kamaʃi,kamasi_557c586d-90af-49ad-b78b-b719e6d0ae25,"[('sii', 'sii_33c93f86-60af-4c20-81f8-b9e6c82adc18', 0.9)]"
ahõm,ahõm,ahõm2_558e9afc-9ba2-4539-a7f6-4f97c105a800,"[('hõm', 'hõm_4a712cc3-64f7-4370-a697-8992d4110af5', 1.0), ('õm', 'õm_31f249cf-2b84-428d-8cd9-657c8d35e6f4', 0.8571428571428571)]"
me,me,me3_55d072cd-437b-41d7-91ee-f93cf6856d86,"[('me', 'me1_69935547-234c-452b-a397-06c63051952f', 1.0)]"
