form,match_form,def,match_def,status,entry_id,match_id
eỹỹm,e'ỹỹm,fear;ter.medo,scare;causar.medo,scare as causative of fear,eỹỹm_db33bb76-0902-4cd5-a8db-eb1f7bdaefba,e&apos;ỹỹm_f10c9014-71b7-47c5-94e5-6838e40da1fe
eỹỹm,eỹỹm,fear;ter.medo,fear;ter.medo,merge,eỹỹm_db33bb76-0902-4cd5-a8db-eb1f7bdaefba,eỹỹm2_b7f8608c-1aaa-4014-b04d-968cde2f7f87
puuw,bo̰:w,bastard.plantain;bananeira do mato,coruja.sp,ignore,puuw_dba9c1c2-cc38-4314-b9f5-c5df5138a06a,bo̰:w_58f3af21-562e-4ed9-a323803b746fa4b7
epóh,ebo:h,eat.fruit;comer.fruta,caçar,ignore,epóh_dca109c5-da4e-472e-84e8-927a1bcab4fb,ebo:h_058fbf01-f274-4cf7-a1c28b39c2d69bb2
nad’ëëd,nad'ëëd,small;pequeno,small;pequeno,merge,nad’ëëd_dd993279-961b-4e7e-aaf2-0286f5a2b9e1,nad&apos;ëëd_dd993279-961b-4e7e-aaf2-0286f5a2b9e1
ehë̃p,ehab,grate;ralar,scrape.manioc;raspar.mandioca,ignore,ehë̃p_df3af308-6431-4a3e-aea7-e9264917d791,ehab_e92f47c7-413d-4a3d-8c1f-019ff0dd12ed
kamak,gamãg,strangler.vine;apui,espécie de pássaro,ignore,kamak_dfae89f9-0470-48cd-9b48-c0d0ab77f609,gamãg_442a9fb3-e66d-4f8c-a0fc2291cbef737b
kamak,kamag,strangler.vine;apui,defunto,ignore,kamak_dfae89f9-0470-48cd-9b48-c0d0ab77f609,kamag_bc987b37-12a6-49c4-a1b8209cf0f6a9f7
ana,adëë,come;vir,lean;encostar,ignore,ana_e31f4062-bf6c-4316-ba96-271f1e728541,adëë_d39b9583-3673-442f-8a80-19cb72795322
sawyym,cawɨb,black.palm;bacaba,peixe-rebeca; bodó,ignore,sawyym_ee869356-dc53-4210-9fa0-608972e8e311,cawɨb_648111f5-c15d-4352-891c4045cc48f03
pä,pa,stone;pedra,lado,ignore,pä_f147e3d8-5601-4640-b31b-4fd6d06fa113,pa_308fbbfc-68b7-49a4-80eee6c9ed0d5045
pä,pa:h,stone;pedra,passado,ignore,pä_f147e3d8-5601-4640-b31b-4fd6d06fa113,pa:h_5d6b8726-aa64-4b93-9329884a1e4b1af9
pä,bʌ,stone;pedra,na.frente,ignore,pä_f147e3d8-5601-4640-b31b-4fd6d06fa113,bʌ_8df25412-204a-46bc-a7873ef67101e1ce
pä,pə:,stone;pedra,cobra.sp,ignore,pä_f147e3d8-5601-4640-b31b-4fd6d06fa113,pə:_8eeb53c7-1d25-48da-8b2d51f5314aa792
pä,bëh,stone;pedra,2PL;2PL,ignore,pä_f147e3d8-5601-4640-b31b-4fd6d06fa113,bëh_59d8bf5a-dd20-44e8-b7a9-5081bab044ae
mooh,bɔ:h,hand;mão,sobrinha,ignore,mooh1_f3b52f1a-d90c-47a3-a82e-0f14c1209ae3,bɔ:h_39fbb0d2-2f48-4e16-85622d552408a467
mooh,bo:h,hand;mão,mistura para coca,ignore,mooh1_f3b52f1a-d90c-47a3-a82e-0f14c1209ae3,bo:h_6a7b644a-7672-4290-94f54f812ad24773
mooh,w'oo,hand;mão,back;costas,ignore,mooh1_f3b52f1a-d90c-47a3-a82e-0f14c1209ae3,w&apos;oo_a56a5c20-7c47-4248-b98b-44682b0b31f4
