\lx,\ge,\ps,\bb,\ph,\va,\vc,,
nooh,mouth,n,Weir 1990,noːh,nɔ̃ːh,"Martins 2005, boca",nõːh,"Barbosa 2005, boca"
nũːh,cabeça,n,,,,,,
nxaag,like (n.i. naag),v,Weir 1994,na̰ːg,,,,
nxoo,fact(itive?),part?,Weir 1994,no̰ːʔ,,,,
õm,2SG,pro,"Weir 1990, Weir 1994",ʔõm,,,õm,"Barbosa 2005, 2SG"
õm,2SG,pro,,,,,,
óót,cry (n.i. ód),v,Weir 1994,ʔɔːt,,,,
óów,grandfather,n,Weir 1994,ʔɔːw,,,,
paːɟ,espécie de fruta,n,,,,,,
paːn,igual,n,,,,,,
pãːn,tecido,?,,,,,,
pamãb,espécie de árvore,n,,,,,,
papɨ̃ːj,sol,n,,,,,,
patuk,marido,n,,,,,,
pɔ̰̃ːd,espécie de trepadeira,n,,,,,,
pɔ̰̃ːd,peçonha,n,,,,,,
pɔ̰̃ːn,andar enfileirado,v,,,,,,
pɔːʔ,nariz,n,,,,,,
pɔb,estar estragado (p ex fruta caída),v,,,,,,
pɔ̰p,no alto,adv?,,,po̰ːp,"Barbosa 2005, no alto",,
pɔw,espécie de fruta silvestre,n,,,,,,
pɔw,fruta (sp),n,,,,,,
pɛːɟ,ser verde n.i.,v,,,,,,
pɛːʔ,farinha,n,,,,,,
péh,"NON.REF, a.one",pro,"Weir 1990, Weir 1994",pɛh,,,,
pɛɲ,distância,n,,,,,,
pɤː,perto,?,,,,,,
pɤːw,espécie de árvore,n,,,,,,
pɤːʔ,espécie de cobra,n,,,,,,
piʃ,espremer (n.i. piɟ),v,,,,,,
piʃ,espremer mandioca,n,,,,,,
poːh,nariz,n,,,,,,
po̰ːh,roça,n,,,,,,
po̰ːh,pimenta,n,,,,,,
po̰ːp,trovão,n,,,,,,
po̰ːʔ,estragado,?,,,,,,
pṵːh,espécie de árvore,n,,,,,,
puh,espuma,n,,,,,,
pʌʔ,pedra,n,,,pʌʔ,"Barbosa 2005, pedra",,
pxóóyub,long.ago,adv,Weir 1994,pɔ̰ːjub,,,,
ra(wa)wog,surucuá,n,,,,,,
ɾaːb,espécie de árvore da caatinga,n,,,,,,
ɾaːd,espécie de árvore,n,,,,,,
ɾaːt,lata,n,,,,,,
