entry_id,headword,morph_type,pronunciation,variant_of,these_vars,note,sense,date,date_modified
du gahõh_e6e93f5e-5975-47f5-b06e-f0b1bb893ed1,du gahõh,phrase,du gahõh,"{'51bc5acc-97f9-433f-b777-5a771ad5549d': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{'bibliography': 'SIL 2011'},,2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
du gahõõh_80c7e610-2b7f-4a71-adf4-08f48dd3968c,du gahõõh,phrase,du gahõ:h,,,{'bibliography': 'SIL 2011'},['51bc5acc-97f9-433f-b777-5a771ad5549d'],2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
duːh2_8cad8cbe-211f-4aa3-bd6e-b9d4d6bcebb8,duːh,stem,,,,,['e51661bd-1335-4d9e-b430-fce904f9fc90'],2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
duːh1_b4bc3933-afcd-45d9-9eea-c1dc19d0f3b5,duːh,stem,,"{'duuh_1c1e2650-1809-4f40-a148-33b3a990262f': {'type': '_component-lexeme', 'variant-type': 'Martins', 'summary': 'fundo'}}",,,,2018-06-20T02:16:50Z,2018-06-20T02:17:31Z
duːʃ_05cbd907-fae2-42cf-b43f-d30a3027504f,duːʃ,stem,,,,,['84c2724b-c6d7-4e74-aeb2-f5cdf30b47b7'],2018-06-20T05:09:54Z,2018-06-20T05:09:54Z
duuh_1c1e2650-1809-4f40-a148-33b3a990262f,duuh,stem,du:h,,"{'duːh1_b4bc3933-afcd-45d9-9eea-c1dc19d0f3b5': {'type': '_component-lexeme', 'variant-type': 'Martins', 'summary': 'fundo'}}",{'bibliography': 'SIL 2011'},['034a0409-242f-4bb1-a927-c33794ddb359'],2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
dʉ́k_f5ccdeb4-f609-45e0-ba1d-6bb5082adeb6,dʉ́k,stem,dʌk,,,{'bibliography': 'Weir 1986; Weir 1990'},['b7057afd-513e-41ff-bdfb-28df4e4c3dc5'],2018-06-20T05:09:54Z,2018-06-20T05:17:30Z
e&apos;ỹỹm_f10c9014-71b7-47c5-94e5-6838e40da1fe,e'ỹỹm,root,eɨ̃ʔɨ̃m,,,{'bibliography': 'Epps/Obert; fieldnotes 2019'},['d2cd4bc5-f981-405c-ae4f-9f04be878033'],2019-11-11T00:37:02Z,2019-11-11T00:39:45Z
eaanh_e191c5c4-84dc-4992-8e69-7106fe0c00c8,eaanh,root,e'a:ɲ,,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},['df9ffee0-83e0-48d6-a5ef-a8b3e058cd4c'],2019-12-21T00:52:43Z,2019-12-21T00:54:29Z
ebʹooh_9993bde4-2888-40e6-b27e-800fa235ee59,ebʹooh,stem,ebo̰:h,"{'98417052-1b46-4bec-8fe4-035586275105': {'type': '_component-lexeme', 'variant-type': 'Plural'}}",,{'bibliography': 'SIL 2011'},,2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
eba&#xA;\vp&#xA;ebah_7865f86a-bc3f-4cbc-94a2-1b2a25389631,eba \vp ebah,stem,eba \vp ebah,"{'fd034ead-ae35-414c-aad2-4b9e0f677a10': {'type': '_component-lexeme', 'variant-type': 'Plural'}}",,{'bibliography': 'SIL 2011'},,2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
ebaan_a4743021-4fb5-4c67-a96c-b605a21e6d44,ebaan,stem,ʔe ˈbã:n,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},['a7ca0748-82d5-4f99-8f89-0fef61c7c8ae'],2018-07-08T18:17:57Z,2018-07-08T18:18:53Z
