headword,sense,entry_id,morph_type,pronunciation,variant_of,these_vars,other_forms,note,date,date_modified
éé,"[['Noun', ""{'en': 'father'}"", '', '', '', '']]",éé2_875e56c4-82d8-40d5-8e1c-c1ccfd207727,stem,ʔɛːʔ,,,,{'bibliography': 'Weir 1986; Weir 1990'},2018-06-20T05:09:54Z,2018-06-20T05:17:30Z
asog,,asog_87882610-dbd6-4886-8420-10e5264fbfd6,stem,aʃog,"{'5e258d04-075c-4fb5-96a5-c8798ff6952f': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
kalapéé,,kalapéé_87b78cb7-da0a-4921-af02-465002851aad,stem,,"{'null': {'type': '_component-lexeme', 'variant-type': 'Weir', 'summary': 'child'}}",,,,2018-06-20T02:55:29Z,2018-07-04T14:47:13Z
anäng,,anäng_87bfc426-0444-4acf-b0cd-90d0356238ad,stem,anʌŋ,"{'95d309a8-a9c1-4233-9460-e9a32e63560f': {'type': '_component-lexeme', 'variant-type': 'Singular'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:52Z,2018-06-20T01:46:10Z
bakäng,"[['?', ""{'pt': '?'}"", ""{'pt': '?'}"", '', '', '']]",bakäng_87ce9273-a96f-4695-a969-96fee8d7ef56,stem,bakʌŋ,,,,{'bibliography': 'encontrado em cartilha 4; lição 13'},2018-03-08T07:17:53Z,2018-06-20T01:06:55Z
bä,"[['', ""{'pt': 'PP'}"", '', '', '', '']]",bä3_87d8763d-27a3-470d-afd7-f76bd5d3b8be,stem,,,,,,2020-01-24T01:55:40Z,2020-01-24T01:55:40Z
tyyw,"[['Noun', ""{'en': 'trail', 'pt': 'caminho'}"", ""{'en': 'trail', 'pt': 'caminho'}"", '', '', '']]",tyyw_87e0c426-d593-4ca1-8704-61dc46d5dc73,stem,tɨ:w,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-07-07T18:17:57Z,2018-07-07T18:19:15Z
ʃḭːʔ,"[['Verb', ""{'en': 'beliscar (ʃiʔ inf; ʃḭːʔ n.i.)'}"", '', '', '', '']]",ʃḭːʔ_87e2a37f-5fa9-4360-8557-ae895c42d81e,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
kanatib-na,"[['Noun', ""{'en': 'fish.poison.esp', 'pt': 'timbó.sp'}"", ""{'en': 'Type of fish poison', 'pt': 'especie de timbó'}"", '', '', '']]",kanatib-na_87f25b2b-a154-45b1-8159-06b576b2c846,root,kanatib na,,,,{'bibliography': 'Epps; Obert Fieldnotes 2019'},2019-11-12T22:13:57Z,2019-11-12T22:15:04Z
tɯ̰ːŋ,"[['Noun', ""{'en': 'anta'}"", '', '', '', '']]",tɯ̰ːŋ_8809f33f-e595-4f96-8d4d-cd4b936414ca,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
tarog,"[['Noun', ""{'en': 'squirrel', 'pt': 'serelepe'}"", ""{'en': 'squirrel', 'pt': 'serelepe; quatipuru; esquilo'}"", '', '', ''], ['Noun', ""{'en': 'wound', 'pt': 'ferida'}"", ""{'en': 'wound', 'pt': 'ferida'}"", '', '', '']]",tarog_881c607c-3829-44af-929d-caa7a9a1c811,stem,taɾog̚,,,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},2019-01-14T03:46:55Z,2019-12-15T22:57:47Z
kas'ỹỹn,,kas&apos;ỹỹn_884bad00-f1bd-4d0d-8a8c-495d4b5d4796,stem,kaʃɨ̰̃:n,"{'368c6261-51f4-4250-8989-35349bda0711': {'type': '_component-lexeme', 'variant-type': 'Habitual'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2020-02-04T15:32:23Z
j'ooh,"[['n', ""{'pt': 'esposo/a'}"", ""{'pt': 'esposo; esposa'}"", '', '', '']]",j&apos;ooh2_88a205a3-9984-4a54-9fe3-064317482daa,stem,jo̰:h,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2020-02-04T15:32:23Z
gawar'ëëb/gawar'yyb,"[['Noun', ""{'en': 'tick', 'pt': 'carrapato'}"", ""{'en': 'medium-sized tick', 'pt': 'carrapato medio'}"", '', '', '']]",gawar&apos;ëëb/gawar&apos;yyb_88f5442a-e153-4784-ba0c-d6f0dd629fb3,stem,k'awaɾəʔəb̚ k'awaɾɨʔɨb̚,,,,,2019-01-14T03:46:55Z,2020-02-04T15:34:03Z
pɔw,"[['Noun', ""{'en': 'fruta (sp)'}"", '', '', '', '']]",pɔw2_88f9d903-03e8-48a9-96ad-346c13f8af41,stem,,,,,,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z
gasyyp,"[['v', ""{'pt': 'costurar'}"", ""{'pt': 'costurar'}"", '', '', ""{'gas&apos;yyb_264b5412-5901-455b-bb3f-bed8595fe801': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}""]]",gasyyp_892b7b19-8365-483e-8237-9c74d12d8d0f,stem,gaʃɨ:p,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
awad,,awad2_89445911-1a22-4be0-8351-b396b535c72a,stem,,"{'c450b8da-5ae2-4d74-b02b-6159d9ad6a32': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Martins 2005; onça'}}",,,,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z
wʌːʔ,"[['Noun', ""{'en': 'espécie de árvore'}"", '', '', '', '']]",wʌːʔ_8959362b-3825-4848-9eba-1c72cb36d5d4,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
man'uuts,"[['Noun', ""{'en': 'uneiuxi.river', 'pt': 'rio.uneiuxi'}"", ""{'en': 'Uneiuxi river', 'pt': 'Rio Uneiuxi'}"", '', '', '']]",man&apos;uuts_898ee1a2-ed1e-4b76-ae8d-ab5b1600b6d1,root,manuʔuɟ,,,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},2020-01-08T15:53:25Z,2020-01-08T15:55:12Z
aj'eenh,,aj&apos;eenh_8999f255-71ae-494a-b7f2-80b9925dc4ec,stem,ajḛ:ɲ,"{'agä1_9e97d488-8f8e-490b-89a8-290893ddccc7': {'type': '_component-lexeme', 'variant-type': 'Plural'}}",,,{'bibliography': 'SIL 2011'},2018-03-22T18:30:56Z,2019-11-06T01:29:29Z
sëën,"[['Noun', ""{'en': 'hair', 'pt': 'cabelo'}"", ""{'en': 'hair', 'pt': 'cabelo'}"", '', '', '']]",sëën_89e12256-aa4d-4789-a64e-fc333256a009,stem,ʃǝ:dn,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-07-06T20:30:39Z,2018-07-06T20:31:36Z
ʃaduŋ,"[['Noun', ""{'en': 'liso'}"", '', '', '', '']]",ʃaduŋ_89eb9d16-7646-448f-8094-acc78f173f14,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
baras'ĩĩnh,"[['Noun', ""{'en': 'yurupari', 'pt': 'yurupari'}"", ""{'en': 'yurupari; jurupari (or any flutes forbidden to women)', 'pt': 'yurupari; jurupari (ou qualquer flauta que se proibe às mulheres)'}"", '', '', '']]",baras&apos;ĩĩnh_8a137ae8-04bc-445f-a244-e594703fa289,stem,baɾaʃĩʔĩɲ,,,,,2019-01-14T03:46:55Z,2020-02-04T15:34:03Z
ʔɨ̃ːn,"[['Noun', ""{'en': 'mulher'}"", '', '', '', '']]",ʔɨ̃ːn3_8a3f7405-eec1-49f8-b745-65fb7c006f0c,stem,,,,,,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z
wii,"[['Noun', ""{'en': 'feather', 'pt': 'pena de passaro'}"", '', '', '', '']]",wii_8a4348e9-3bfb-46f0-8cd1-c70242ed07b9,stem,wiː,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-07-05T14:22:46Z,2018-07-05T14:24:18Z
